Astilbe biternata
Astilbe chinensis
Astilboides tabularis
Astragalus glycyphyllos
Astragalus membranaceous
Astragalus sp.
Astragalus whitneyi
Astrantia carniolica rubra
Astrantia involucrata
Astrantia major 
Astrantia major
Astrantia minor
Astrophytum asterias
Astrophytum capricorne crassispinum
Astrophytum coahuilense
Astrophytum x 'sen-as'
Asyneuma limoniflium
Asyneuma limonifolium
Athamanta turbith
Atractyloides japonica
Atriplex canescens
Atriplex hymenolytra 
Atriplex longipes
Atropa belladonna
Aubrieta deltoides
Aubrietia grandiflora
Aucuba japonica
Aureolaria virginica
Austrocactus bertinii 'patagonicus'
Austrocactus bertinii
Austrocylindropuntia floccosa
Austrocylindropuntia haematacantha
Austrocylindropuntia inarmata
Austrocylindropuntia shaferi
Austrocylindropuntia weingartiana
Averrhoa carambola
Azorina vidallii
Aztekium ritteri
Babiana dregei
Babiana tubulosa
Baeometra uniflora 
Ballota pseudodictamnus
Balsamorhiza hookeri
Balsamorhiza sagitatta
Bambusa arundinacea
Banksia integrifolia
Banksia prionotes
Banksia sp.
Baptisia australis
Baptisia leucophaea
Baptisia viridis
Barbarea rupicola
Barbarea sp.
Barbarea vulgaris variegata
Barbarea vulgaris
Barleria obtusa
Bartsia alpina 
Bauhinia monandra
Bauhinia purpurea
Baumea articulata
Begonia dioica
Begonia evansiana
Begonia hirta
Begonia picta
Begonia semperflorens
Begonia suffruticosa
Begonia tuber hybrida
Belamcanda chinensis
Bellevalia dubia
Bellevalia pycnantha
Bellevalia romana
Bensoniella oregona
Berardia subacaulis
Berberis julianae
Berberis sphaerocarpa
Berberis thunbergii
Bergenia ciliata
Berlandiera lyrata
Bertholletia excelsa
Berzelia galpinii
Berzelia lanuginosa
Berzelia rubra
Beschorneria bracteata
Beschorneria yuccoides
Bessya alpina
Beta vulgare
Betula delavayi
Betula ermanii
Betula glandulosa
Betula lenta
Betula lutea
Betula nana
Betula pendula
Betula platyphylla japonica
Betula populifolia
Betula pubescens
Betula tianschanica
Bidens ferrucaefolia
Billardiera longiflora 
Billardiera longiflora fructoalba
Biscutella coronopifolia
Bitium
Bixa orellana
Blackstonia perfoliata
Blephilia hirsuta
Bloomeria crocea
Blossfelldia iliputana
Boenninghausenia albiflora
Bolboschoenus caldwellii
Bolboschoenus fluviatilis
Bomarea sp.
Bombax malabaricum
Bongardia sp.
Borago officinalis
Boronia ledifolia
Boronia megastigma
Bouteloua curtipendula
Bouteloua gracilis
Boykinia aconitifolia
Brachiaria dictyoneura 
Brachiaria dictyoneura
Brachycome iberidifolia
Brachyglottis bellidioides
Brassica olearaceae
Braya alpina
Briggsia aurantiaca
Brimeura amethystina 
Brimeura amethystina alba
Brimeura amethystina
Brimeura pulchella
Briza maxima
Brodiae congesta
Brodiae douglasii
Brodiae pulchella
Brodiaea laxa
Bromus macrostachys
Broussonetia papyrifera
Browallia sp.
Browningia candelaris
Bruckenthalia spiculifolia
Brugmansia suaveolens
Brunia laevis
Brunia stokei
Buddleia davidii
Buddleia globosa
Buiningia aurea
Buiningia brevicylindrica
Bulbine annua
Bulbine bulbosa
Bulbine caulescens
Bulbine frutescens
Bulbine glauca
Bulbine semibarbata
Bulbinella hookeri
Bulbocodium vernum
Bupleurum aureum
Bupleurum longifolium
Bupleurum ranunculoides
Bupleurum rotundifolium 
Bupleurum rotundifolium
Bupleurum spinosum
Butia capitata v. odorata
Butia capitata
Butomus umbellatus
Caesalpina pulcherrima
Caesalpinia pulcherrima
Cajanus cajon
Cajophora acuminata
Cajophora coronata
Cajophora laterita
Calamagrostis acutiflora
Calandrinia acutisepala
Calandrinia caespitosa
Calandrinia grandiflora
Calandrinia umbellata
Calastrus scandens
Calceolaria (annual hybrids)
Calceolaria falklandica
Calendula officinalis
Callianthemum sp.
Callicarpa dichotoma
Callicarpa japonica
Callistemon sp.
Callistemon speciosus 
Callistemon speciosus
Callistephus chinensis
Callitris canescens
Callitris rhomboidea
Calluna vulgaris
Calochortus aureus
Calochortus gunnisonii
Calochortus kennedyi
Calochortus sp.
Calonycton aculeatum
Caloscordum neriniflorum
Calothamnus quadrifidus
Caltha biflora
Caltha leptosepala
Caltha palustris
Calycanthus floridus
Calycocarpum lyoni
Calydorea amabilis
Calydorea nuda
Calydorea pallens
Calydorea speciosa
Calydorea xiphioides
Calylophus lavandulifolius
Calyptridium monospermum
Calyptridium umbellatum
Camassia leichtlinii v. suksdorfii
Camassia leichtlinii
Campanula (annuals)
Campanula alliarifolia
Campanula allioni
Campanula alpina
Campanula altaica
Campanula americana
Campanula aucheri
Campanula barbata
Campanula bellidifolia
Campanula betulaefolia
Campanula caespitosa
Campanula carpathica
Campanula carpatica alba
Campanula cashmeriana
Campanula cenisia
Campanula chamissonii
Campanula cochlearifolia
Campanula collina
Campanula coriacea
Campanula finitima
Campanula formanekiana
Campanula garganica
Campanula glomerata acaulis
Campanula glomerata
Campanula gracilis
Campanula hawkinsiana
Campanula incurva
Campanula jenkinsae
Campanula latifolia alba
Campanula latifolia
Campanula latiloba
Campanula linearifolia
Campanula linifolia
Campanula longistyla
Campanula lyrata
Campanula medium
Campanula moesica
Campanula napuligera
Campanula ossetica
Campanula pallida
Campanula persicifolia
Campanula pilosa
Campanula pulla
Campanula punctata
Campanula pyramidalis
Campanula raddeana
Campanula ramosissima
Campanula rapunculoides
Campanula rotundifolia
Campanula sarmakadensis
Campanula sarmatica
Campanula saxifraga
Campanula scabrella
Campanula scheuzeri
Campanula shetleri
Campanula sibirica
Campanula spicata
Campanula steveni
Campanula takesimana
Campanula taurica
Campanula thrysoides
Campanula trautvetteri
Campanula tridentata
Campsis radicans
Canna indica
Cannabis sativa
Capparis spinosa 
Capparis spinosa
Capsicum annuum
Capsicum frutescens
Capsicus pubescens
Cardamine pennsylvanica
Cardiocrinum cordatum v. glehnii
Cardiocrinum giganteum
Cardiospermum halicacabum
Carex arenaria
Carex comans
Carex grayi
Carex lurida
Carex muskingumensis
Carex pendula
Carex retrorsa
Carex secta
Carex stricta
Carica papaya
Carlina acaulis
Carmichaelia apressa
Carmichaelia monroi
Carnegia gigantea
Carpentaria californica
Carrica papaya
Carthamus tinctorious
Carum caryi
Carya sp.
Caryopteris incana
Cassiope fastigiata
Castanea sativa
Castanea sinensis
Castillea parviflora
Castilleja integra
Castilleja miniata
Castilleja parviflora
Castilleja rhexifolia
Castilleja sp. 
Casuarina sp.
Catalpa bignonioides
Catharanthus roseus
Caulophyllum thalictroides
Cautleya spicata
Ceanothus americana
Cedrela sinensis
Cedrus atlantica
Celmisia armstrongii
Celmisia dallii
Celmisia monroi
Celmisia semicordata
Celmisia spectabilis
Celmisia traversii
Celosia argentea
Celtis tenuifolia 
Centaurea maculosa
Centaurium erythraea
Centaurium meyeri
Centaurium muhlenbergii
Centaurium pulchellum
Centaurium scilloides
Centranthus ruber
Cephalanthus occidentalis
Cephalaria gigantea
Cephalaria leucantha
Cephalocereus alensis
Cephalocereus royenii
Cephalocereus senilis
Cerastium alpinum
Cerastium bossieri
Cerastium candidissimum
Cerastium fontanum
Cerastium maximum
Cerastium montanum
Cerastium uniflorum
Ceratotheca triloba
Cercidiphyllum japonicum
Cercis canadensis alba
Cercis chinensis
Cercocarpus betuloides
Cercocarpus intricatus
Cereus aethiops
Cereus validus
Cerinthe major
Cestrum nocturnum
Chaenactis douglasii
Chaenomeles japonica
Chaenomeles sinensis
Chaenorrhinum oreganifolium
Chaerophyllum hirsutum
Chamaebatia millefolium 
Chamaebatia millefolium
Chamaechaenactis scaposa
Chamaecytisus austriacus
Chamaedaphne calyculata
Chamaelirium luteum
Chamaemelum nobile
Chamaespartium sagitate
Chasmanthe floribunda
Cheiranthus cheiri
Chelidonium majus
Chelone glabra
Chenopodium (Bitium) virgatum
Chenopodium ambrosiodes
Chenopodium bonus
Chenopodium virgatum
Chenopodium vulvaria
Chenopodium vulvularia
Chiastophyllum oppositifolia
Chiliotrichum amelloides
Chilopsis linearis
Chimonanthus praecox
Chionanthus virginica
Chionochloa rubra
Chionodoxa luciliae
Chloranthus sp.
Chlorogalum pomeridianum
Chordospartium muritai
Chrysanthemum cinerarifolium
Chrysanthemum djilgense
Chrysanthemum koreanum
Chrysanthemum leucanthemum 
Chrysanthemum pyrethroides
Chrysopsis villosa
Cicer arietinum
Cicerbita alpina
Cichorum intybus
Cimicifuga racemosa
Circaea lutetiana
Cissus striata
Cistus laurifolius
Citrofortunella mitis
Citrullus vulgaris
Citrus nobilis
Cladastris lutea
Cladothamnus pyroliflorus
Clarkia amoena
Clarkia elegans
Claytonia megarhiza
Claytonia virginica
Cleistocactus aureispinus
Cleistocactus baumannii
Cleistocactus smaragdiflorus
Clematis addisonii
Clematis albicoma v. coactilis
Clematis alpina
Clematis coactilis
Clematis columbiana
Clematis connata
Clematis crispa
Clematis forsteri
Clematis grata
Clematis hirsutissima
Clematis integrifolia
Clematis ladakhiana
Clematis lanuginosa
Clematis maculata
Clematis occidentalis
Clematis orientalis
Clematis pitcheri
Clematis recta
Clematis rehderiana
Clematis sp.
Clematis vernayi
Clematis verticillata
Clematis viorna
Clematis virginiana
Cleome hassleriana
Cleome serrulata
Clethra alnifolia
Clethra fargesii
Clianthus formosa
Clianthus formosus
Clianthus puniceus 
Clianthus puniceus alba
Clintonia andrewsiana
Clintonia borealis
Clintonia umbellata
Clitoria ternatea
Clivia miniata
Cneorum tricoccon
Cnicus benedictus
Cobaea scandens
Coccoloba uvifera
Cocculus carolinus 
Cochlearia alpina
Cochlearia officinalis
Codonopsis clematidea
Codonopsis ovata
Codonopsis pilosula
Codonopsis viridis
Coffea arabica
Colchicum autumnale
Colchicum luteum
Coleocephalocereus goebelianus
Coleus frederici
Coleus plumosa
Collinsia bicolor
Collinsonia canadensis
Collomia cavanillesii
Collomia debilis
Collomia grandiflora
Collomia involucrata
Collomia sp.
Colutea arborescens
Colutea hyb. media
Coluteocarpus vesicaria
Commelina dianthifolia
Conanthera bifolia
Conimitella williamsii
Conospermum taxifolium
Convallaria majalis
Convolvus compactus
Convolvus lineatus ssp. angustifolius
Convolvus sp.
Convolvus tricolor
Copiapoa barquitensis
Copiapoa bridgesii
Copiapoa humilis
Copiapoa hypogaea
Copiapoa magnifica 
Copiapoa tenuissima
Coprosma acerosa
Coprosma atropurpurea
Coprosma petriel
Coprosma rhamnoides
Cordyline indivisa
Cordyline pumilio
Coreopsis lanceolata
Coriandrum sativum
Coriaria terminalis xanthocarpa
Coriaria terminalis
Cornus alternifolia
Cornus amomum
Cornus canadensis
Cornus florida
Cornus kousa
Cornus mas
Cornus nuttallii
Cornus racemosa
Cornus siberica
Cornus stolonifera
Cornus suecica
Corokia cotoneaster
Coronilla varia
Correa aquae-gelidae
Correa cordifolia
Corryocactus tarijensis
Corryocactus urmiriensis
Cortusa matthioli
Cortusa turkestanica
Corydalis caseana ssp. brandegei
Corydalis cheilanthifolia
Corydalis lutea
Corydalis nobile
Corydalis sempervirens
Corylopsis pauciflora
Corylopsis spicata
Corylus avellana
Corylus cornuta
Coryphantha echinoides
Coryphantha palmeri
Coryphantha vivipara
Cosmos bipinnatus
Costus guanaiensis
Cotinus coggyria
Cotoneaster acutifolia
Cotoneaster apiculata
Cotoneaster dammeri
Cotoneaster depressa
Cotoneaster divaricata
Cotoneaster horizontalis
Cotoneaster integerrimus
Cotoneaster microphyllus v. cochleatus
Cotoneaster microphyllus
Cotoneaster zagelii
Cotyledon orbiculata
Cowania mexicana
Crambe cordifolia
Crambe maritima
Craspedia incana
Crataegus coccinea
Crataegus cordata
Crataegus crus-galli
Crataegus flava
Crataegus mollis
Crataegus monogyna
Crataegus oxycantha
Crataegus phaenopyrum
Crataegus punctata
Crataegus rotundifolia
Cremanthodium arnicoides
Cremanthodium ellisii
Crepis sibiricus
Crinodendron hookerianum
Criscoma coma-aurea
Crocosmia aurea 
Crocosmia aurea
Crocus speciosus
