"n","f","taxon"
1563,"Liliaceae","FRITILLARIA biflora x purdyi"
1564,"Liliaceae","FRITILLARIA bithynica"
1565,"Liliaceae","FRITILLARIA bucharica"
1566,"Liliaceae","FRITILLARIA camschatcensis"
1567,"Liliaceae","FRITILLARIA camschatcensis f. aurea"
1568,"Liliaceae","FRITILLARIA carica"
1569,"Liliaceae","FRITILLARIA caucasica"
1570,"Liliaceae","FRITILLARIA crassifolia"
1571,"Liliaceae","FRITILLARIA davisii"
1572,"Liliaceae","FRITILLARIA drenovskii"
1573,"Liliaceae","FRITILLARIA eduardii"
1574,"Liliaceae","FRITILLARIA ehrhartii"
1575,"Liliaceae","FRITILLARIA ehrhartii JJA0.494.800"
1576,"Liliaceae","FRITILLARIA elwesii"
1577,"Liliaceae","FRITILLARIA epirotica"
1578,"Liliaceae","FRITILLARIA euboeica"
1579,"Liliaceae","FRITILLARIA ferganensis"
1580,"Liliaceae","FRITILLARIA gibbosa"
1581,"Liliaceae","FRITILLARIA gracilis"
1582,"Liliaceae","FRITILLARIA graeca"
1583,"Liliaceae","FRITILLARIA graeca ex Parnitha"
1584,"Liliaceae","FRITILLARIA graeca subsp. thessala"
1585,"Liliaceae","FRITILLARIA gussichiae"
1586,"Liliaceae","FRITILLARIA imperialis"
1587,"Liliaceae","FRITILLARIA imperialis orange"
1588,"Liliaceae","FRITILLARIA imperialis red"
1589,"Liliaceae","FRITILLARIA involucrata"
1590,"Liliaceae","FRITILLARIA kurdica"
1591,"Liliaceae","FRITILLARIA liliacea"
1592,"Liliaceae","FRITILLARIA lusitanica"
1593,"Liliaceae","FRITILLARIA meleagris"
1594,"Liliaceae","FRITILLARIA meleagris mixed colours"
1595,"Liliaceae","FRITILLARIA michailovskyi"
1596,"Liliaceae","FRITILLARIA michailovskyi x kurdica"
1597,"Liliaceae","FRITILLARIA minuta"
1598,"Liliaceae","FRITILLARIA montana"
1599,"Liliaceae","FRITILLARIA nigra"
1600,"Liliaceae","FRITILLARIA obliqua"
1601,"Liliaceae","FRITILLARIA olivieri"
1602,"Liliaceae","FRITILLARIA orientalis"
1603,"Liliaceae","FRITILLARIA pallidiflora"
1604,"Liliaceae","FRITILLARIA persica"
1605,"Liliaceae","FRITILLARIA persica 'Adiyaman'"
1606,"Liliaceae","FRITILLARIA pinardii"
1607,"Liliaceae","FRITILLARIA pontica"
5168,"Liliaceae","FRITILLARIA pudica"
1608,"Liliaceae","FRITILLARIA pudica"
5169,"Liliaceae","FRITILLARIA purdyi"
1609,"Liliaceae","FRITILLARIA pyrenaica"
1610,"Liliaceae","FRITILLARIA raddeana"
5170,"Liliaceae","FRITILLARIA recurva"
1611,"Liliaceae","FRITILLARIA recurva"
1612,"Liliaceae","FRITILLARIA rixii"
1613,"Liliaceae","FRITILLARIA sewerzowii"
1550,"Liliaceae","FRITILLARIA sp. ex Pulkhakim"
1614,"Liliaceae","FRITILLARIA stenanthera"
1615,"Liliaceae","FRITILLARIA straussii"
1616,"Liliaceae","FRITILLARIA thunbergii"
1617,"Liliaceae","FRITILLARIA thunbergii"
1618,"Liliaceae","FRITILLARIA tubiformis subsp. moggridgei"
1619,"Liliaceae","FRITILLARIA uva-vulpis"
1620,"Liliaceae","FRITILLARIA whittallii"
1621,"Liliaceae","FRITILLARIA whittallii PW72-64B"
1622,"Onagraceae","FUCHSIA denticulata"
1623,"Onagraceae","FUCHSIA procumbens"
1625,"Liliaceae","GAGEA fibrosa"
1624,"Liliaceae","GAGEA sp. ex Sierra Cazorla"
1629,"Amaryllidaceae","GALANTHUS elwesii"
1630,"Amaryllidaceae","GALANTHUS nivalis"
1631,"Amaryllidaceae","GALANTHUS plicatus 'Bolu Shades' AHEP8313"
1632,"Amaryllidaceae","GALANTHUS reginae-olgae subsp. vernalis"
1633,"Amaryllidaceae","GALANTHUS rizehensis"
1643,"Iridaceae","GEISSORHIZA corrugata"
1644,"Iridaceae","GELASINE elongata"
1698,"Geraniaceae","GERANIUM 'Silver Cloak'"
1699,"Geraniaceae","GERANIUM 'Twinkle Stars'"
1700,"Geraniaceae","GERANIUM cinereum"
1701,"Geraniaceae","GERANIUM cinereum deep pink"
1702,"Geraniaceae","GERANIUM eriostemon"
1703,"Geraniaceae","GERANIUM grandistipulatum"
1704,"Geraniaceae","GERANIUM himalayense"
1705,"Geraniaceae","GERANIUM incanum"
1706,"Geraniaceae","GERANIUM maculatum 'Espresso'"
1707,"Geraniaceae","GERANIUM magniflorum"
1708,"Geraniaceae","GERANIUM nodosum"
1710,"Geraniaceae","GERANIUM palmatum"
1711,"Geraniaceae","GERANIUM palustre"
1712,"Geraniaceae","GERANIUM phaeum"
1713,"Geraniaceae","GERANIUM platypetalum"
1714,"Geraniaceae","GERANIUM pratense"
1716,"Geraniaceae","GERANIUM pratense 'Splish-splash'"
1715,"Geraniaceae","GERANIUM pratense dark leaf"
1717,"Geraniaceae","GERANIUM pratense f. albiflorum"
1718,"Geraniaceae","GERANIUM psilostemon"
1719,"Geraniaceae","GERANIUM pyrenaicum 'Bill Wallis'"
1720,"Geraniaceae","GERANIUM renardii"
1721,"Geraniaceae","GERANIUM reuteri"
1722,"Geraniaceae","GERANIUM rubescens"
1723,"Geraniaceae","GERANIUM sanguineum"
1724,"Geraniaceae","GERANIUM sanguineum 'Max Frei'"
1725,"Geraniaceae","GERANIUM sanguineum f. album"
1726,"Geraniaceae","GERANIUM sanguineum f. striatum"
1727,"Geraniaceae","GERANIUM sanguineum subsp. lancastriense"
1728,"Geraniaceae","GERANIUM sessiliflorum subsp. novae- zelandiae 'Nigricans'"
1729,"Geraniaceae","GERANIUM solanderi"
1730,"Geraniaceae","GERANIUM subacutum white"
1731,"Geraniaceae","GERANIUM thunbergii"
1732,"Geraniaceae","GERANIUM traversii"
1733,"Geraniaceae","GERANIUM wallichianum"
1709,"Geraniaceae","GERANIUM x oxonianum"
1748,"Iridaceae","GLADIOLUS 'Atom'"
1749,"Iridaceae","GLADIOLUS 'Dark Ruby'"
1750,"Iridaceae","GLADIOLUS 'Ruby'"
1751,"Iridaceae","GLADIOLUS 'Tom'"
1752,"Iridaceae","GLADIOLUS byzantinus"
1753,"Iridaceae","GLADIOLUS cardinalis"
1754,"Iridaceae","GLADIOLUS carinatus"
1755,"Iridaceae","GLADIOLUS carneus"
1756,"Iridaceae","GLADIOLUS caucasicus"
1757,"Iridaceae","GLADIOLUS communis"
1758,"Iridaceae","GLADIOLUS communis subsp. byzantinus"
1759,"Iridaceae","GLADIOLUS dalenii orange"
1760,"Iridaceae","GLADIOLUS dalenii yellow"
1761,"Iridaceae","GLADIOLUS flanaganii"
1763,"Iridaceae","GLADIOLUS gracilis"
1764,"Iridaceae","GLADIOLUS humilis"
1765,"Iridaceae","GLADIOLUS illyricus"
1766,"Iridaceae","GLADIOLUS imbricatus"
5182,"Iridaceae","GLADIOLUS italicus"
1767,"Iridaceae","GLADIOLUS italicus"
1768,"Iridaceae","GLADIOLUS longicollis McB2970"
1769,"Iridaceae","GLADIOLUS murielae"
1770,"Iridaceae","GLADIOLUS palustris"
1771,"Iridaceae","GLADIOLUS papilio red good marking"
1772,"Iridaceae","GLADIOLUS quadrangularis"
1746,"Iridaceae","GLADIOLUS sp. pink 40cm"
1747,"Iridaceae","GLADIOLUS sp. pink 60cm"
1773,"Iridaceae","GLADIOLUS splendens"
1774,"Iridaceae","GLADIOLUS tenuis"
1775,"Iridaceae","GLADIOLUS trichonemifolius"
1777,"Iridaceae","GLADIOLUS tristis"
1776,"Iridaceae","GLADIOLUS tristis"
1778,"Iridaceae","GLADIOLUS venustus"
1762,"Iridaceae","GLADIOLUS x gandavensis"
1807,"Amaryllidaceae","HABRANTHUS brachyandrus"
1808,"Amaryllidaceae","HABRANTHUS gracilifolius"
1809,"Amaryllidaceae","HABRANTHUS martinezii"
1810,"Amaryllidaceae","HABRANTHUS robustus"
1811,"Amaryllidaceae","HABRANTHUS robustus winter dormant"
1806,"Amaryllidaceae","HABRANTHUS sp. 15cm orange"
1812,"Amaryllidaceae","HABRANTHUS tubispathus"
1814,"Amaryllidaceae","HABRANTHUS tubispathus f. aureus"
1815,"Amaryllidaceae","HABRANTHUS tubispathus subsp. texanus"
1813,"Amaryllidaceae","HABRANTHUS tubispathus yellow"
1824,"Zingiberaceae","HEDYCHIUM coccineum subsp. coccineum"
1825,"Zingiberaceae","HEDYCHIUM coronarium"
1826,"Zingiberaceae","HEDYCHIUM spicatum"
1864,"Melanthiaceae","HELONIOPSIS japonica"
1865,"Melanthiaceae","HELONIOPSIS orientalis f. breviscapa"
1866,"Asphodelaceae","HEMEROCALLIS 'Corky'"
1867,"Asphodelaceae","HEMEROCALLIS 'Prairie Belle'"
1868,"Ranunculaceae","HEPATICA acutiloba white"
1869,"Ranunculaceae","HEPATICA americana blue"
1870,"Ranunculaceae","HEPATICA americana pink"
1871,"Ranunculaceae","HEPATICA nobilis"
1872,"Ranunculaceae","HEPATICA nobilis dark blue  multi-petal"
1874,"Iridaceae","HESPERANTHA baurii"
1875,"Iridaceae","HESPERANTHA cucullata"
1876,"Iridaceae","HESPERANTHA falcata"
1877,"Iridaceae","HESPERANTHA humilis"
1878,"Iridaceae","HESPERANTHA huttonii"
1879,"Iridaceae","HESPERANTHA oligantha"
1880,"Iridaceae","HESPERANTHA pauciflora magenta"
1899,"Amaryllidaceae","HIPPEASTRUM elwesii"
1922,"Asphodelaceae","HYACINTHELLA pallasiana"
1923,"Asphodelaceae","HYACINTHOIDES hispanica"
5190,"Asphodelaceae","HYACINTHOIDES non-scripta"
1924,"Asphodelaceae","HYACINTHOIDES non-scripta"
1925,"Asphodelaceae","HYACINTHOIDES non-scripta bracteate fm"
1926,"Asphodelaceae","HYACINTHOIDES paivae"
1927,"Asphodelaceae","HYACINTHOIDES reverchonii"
1943,"Hypoxidaceae","HYPOXIS hygrometrica"
1944,"Hypoxidaceae","HYPOXIS rooperi"
1953,"Balsaminaceae","IMPATIENS bicolor"
1954,"Balsaminaceae","IMPATIENS scabrida"
1979,"Amaryllidaceae","IPHEION  'Alberto Castillo'"
1980,"Amaryllidaceae","IPHEION 'Rolf Fiedler'"
1981,"Amaryllidaceae","IPHEION uniflorum 'Charlotte Bishop'"
1982,"Amaryllidaceae","IPHEION uniflorum 'Charlotte Bishop'"
1983,"Convolvulaceae","IPOMOEA lindheimeri"
1984,"Convolvulaceae","IPOMOEA purpurea"
1985,"Convolvulaceae","IPOMOEA quamoclit"
1986,"Convolvulaceae","IPOMOEA tricolor 'Crimson Rambler'"
1987,"Convolvulaceae","IPOMOEA tricolor 'Heavenly Blue'"
1993,"Iridaceae","IRIS  Californian hybs."
1994,"Iridaceae","IRIS  Californian hybs. blue"
1995,"Iridaceae","IRIS  Californian hybs. lilac/yellow"
1996,"Iridaceae","IRIS  Californian hybs. pink/white"
1997,"Iridaceae","IRIS  Californian hybs. purple/white"
1998,"Iridaceae","IRIS  Californian hybs. white"
1999,"Iridaceae","IRIS  Californian hybs. white/lavender"
2000,"Iridaceae","IRIS  Californian hybs. yellow"
1989,"Iridaceae","IRIS 'Big Money' (Cal Hyb)"
1990,"Iridaceae","IRIS 'Braithwaite'"
1991,"Iridaceae","IRIS 'Broadleigh Anne'"
1992,"Iridaceae","IRIS 'Broadleigh Rose'"
2001,"Iridaceae","IRIS 'Crandall's White' (Cal Hyb)"
2002,"Iridaceae","IRIS 'Sibirischer Fruhling'(Sib)"
2003,"Iridaceae","IRIS 'Verdissant' Int. bearded"
2004,"Iridaceae","IRIS 'Warlsind'"
2005,"Iridaceae","IRIS acutiloba"
2006,"Iridaceae","IRIS albertii"
2007,"Iridaceae","IRIS bicapitata"
2008,"Iridaceae","IRIS bloudowii"
2009,"Iridaceae","IRIS bracteata"
2010,"Iridaceae","IRIS bucharica"
2011,"Iridaceae","IRIS bulleyana"
2012,"Iridaceae","IRIS bulleyana dark"
2013,"Iridaceae","IRIS bulleyana hybrid"
2014,"Iridaceae","IRIS chrysographes"
2017,"Iridaceae","IRIS chrysographes 'Black Knight'"
2016,"Iridaceae","IRIS chrysographes SICH572"
2015,"Iridaceae","IRIS chrysographes black"
2018,"Iridaceae","IRIS chrysographes f. rosea"
5196,"Iridaceae","IRIS chrysophylla"
2019,"Iridaceae","IRIS clarkei"
2020,"Iridaceae","IRIS delavayi"
2021,"Iridaceae","IRIS domestica"
2022,"Iridaceae","IRIS douglasiana"
2023,"Iridaceae","IRIS ensata"
2024,"Iridaceae","IRIS ensata 'Laughing Lion'"
2025,"Iridaceae","IRIS ensata 'Rose Queen'"
2026,"Iridaceae","IRIS foetidissima"
2027,"Iridaceae","IRIS forrestii"
2028,"Iridaceae","IRIS forrestii hybrids"
2029,"Iridaceae","IRIS galatica"
2030,"Iridaceae","IRIS graeberiana"
2031,"Iridaceae","IRIS graminea"
5197,"Iridaceae","IRIS hookeri"
2032,"Iridaceae","IRIS hookeri"
1988,"Iridaceae","IRIS hyb. Arilbred hybrid"
2033,"Iridaceae","IRIS innominata"
2034,"Iridaceae","IRIS kerneriana"
2035,"Iridaceae","IRIS lactea"
2036,"Iridaceae","IRIS latifolia"
2037,"Iridaceae","IRIS latifolia pale blue"
2038,"Iridaceae","IRIS latifolia purple"
2039,"Iridaceae","IRIS latifolia subsp. pyrenaica"
2040,"Iridaceae","IRIS longipetala"
2041,"Iridaceae","IRIS lutescens purple"
5198,"Iridaceae","IRIS macrosiphon"
2042,"Iridaceae","IRIS magnifica"
2043,"Iridaceae","IRIS milesii white"
5199,"Iridaceae","IRIS missouriensis"
2045,"Iridaceae","IRIS pallida"
2046,"Iridaceae","IRIS paradoxa dark"
2047,"Iridaceae","IRIS parvula hybrid"
5200,"Iridaceae","IRIS planifolia"
2048,"Iridaceae","IRIS pseudacorus"
2049,"Iridaceae","IRIS pseudacorus f. variegata"
2050,"Iridaceae","IRIS pumila"
2051,"Iridaceae","IRIS reichenbachii"
5201,"Iridaceae","IRIS ruthenica"
2052,"Iridaceae","IRIS sanguinea"
2053,"Iridaceae","IRIS sanguinea 'Nana Alba'"
2054,"Iridaceae","IRIS schachtii"
2055,"Iridaceae","IRIS setosa"
2056,"Iridaceae","IRIS setosa dwarf form"
2057,"Iridaceae","IRIS setosa ex Magadan"
2058,"Iridaceae","IRIS setosa subsp. arctica"
2059,"Iridaceae","IRIS setosa subsp. canadensis"
2060,"Iridaceae","IRIS sibirica"
2063,"Iridaceae","IRIS sibirica 'Dance Ballerina Dance'"
2064,"Iridaceae","IRIS sibirica 'Papillon'"
2065,"Iridaceae","IRIS sibirica 'Piquant Fancy'"
2066,"Iridaceae","IRIS sibirica 'Snow Queen'"
2061,"Iridaceae","IRIS sibirica pale blue"
2062,"Iridaceae","IRIS sibirica white/yellow"
2067,"Iridaceae","IRIS sintenisii"
2068,"Iridaceae","IRIS spuria subsp. musulmanica"
2069,"Iridaceae","IRIS stolonifera"
2070,"Iridaceae","IRIS tectorum"
2072,"Iridaceae","IRIS tectorum 'Alba'"
2071,"Iridaceae","IRIS tectorum white"
2073,"Iridaceae","IRIS tuberosa"
2074,"Iridaceae","IRIS variegata"
2075,"Iridaceae","IRIS versicolor"
2076,"Iridaceae","IRIS vicaria"
2077,"Iridaceae","IRIS vicaria 'Sina'"
2078,"Iridaceae","IRIS willmottiana"
2079,"Iridaceae","IRIS wilsonii"
2044,"Iridaceae","IRIS x norrisii"
2080,"Iridaceae","IRIS xiphium subsp. lusitanica"
2083,"Iridaceae","IXIA curta orange"
2084,"Iridaceae","IXIA pumilio"
2085,"Ixioliriaceae","IXIOLIRION tataricum"
2103,"Asphodelaceae","KNIPHOFIA 'Royal Castle'"
2104,"Asphodelaceae","KNIPHOFIA caulescens"
2105,"Asphodelaceae","KNIPHOFIA northiae"
2106,"Asphodelaceae","KNIPHOFIA sarmentosa"
2102,"Asphodelaceae","KNIPHOFIA sp. early, narrow lf"
2107,"Asphodelaceae","KNIPHOFIA uvaria"
2110,"Asphodelaceae","LACHENALIA aloides yellow"
2111,"Asphodelaceae","LACHENALIA arbuthnotiae"
2112,"Asphodelaceae","LACHENALIA bulbifera"
2113,"Asphodelaceae","LACHENALIA carnosa"
2114,"Asphodelaceae","LACHENALIA comptonii"
2115,"Asphodelaceae","LACHENALIA contaminata"
2116,"Asphodelaceae","LACHENALIA corymbosa"
2117,"Asphodelaceae","LACHENALIA ensifolia"
2118,"Asphodelaceae","LACHENALIA kliprandensis"
2119,"Asphodelaceae","LACHENALIA latimerae"
2120,"Asphodelaceae","LACHENALIA longituba"
2121,"Asphodelaceae","LACHENALIA pallida"
2122,"Asphodelaceae","LACHENALIA pygmaea"
2123,"Asphodelaceae","LACHENALIA reflexa"
2124,"Asphodelaceae","LACHENALIA vanzyliae"
2125,"Asphodelaceae","LACHENALIA vanzyliae"
2133,"Iridaceae","LAPEIROUSIA oreogena"
2134,"Iridaceae","LAPEIROUSIA silenoides"
2135,"Fabaceae","LATHYRUS aureus"
2136,"Fabaceae","LATHYRUS clymenum subsp. articulatus"
2137,"Fabaceae","LATHYRUS latifolius"
2138,"Fabaceae","LATHYRUS latifolius pink"
2139,"Fabaceae","LATHYRUS miniatus"
2140,"Fabaceae","LATHYRUS montanus"
2141,"Fabaceae","LATHYRUS nervosus"
2142,"Fabaceae","LATHYRUS niger"
2143,"Fabaceae","LATHYRUS odoratus"
2144,"Fabaceae","LATHYRUS pannonicus"
2145,"Fabaceae","LATHYRUS roseus"
2146,"Fabaceae","LATHYRUS tingitanus"
2147,"Fabaceae","LATHYRUS vernus"
2151,"Fabaceae","LATHYRUS vernus f. alboroseus"
2148,"Fabaceae","LATHYRUS vernus pink"
2149,"Fabaceae","LATHYRUS vernus pink & white mixed"
2150,"Fabaceae","LATHYRUS vernus purple"
2152,"Fabaceae","LATHYRUS vernus subsp. gracilis"
2168,"Asphodelaceae","LEOPOLDIA comosa"
2167,"Asphodelaceae","LEOPOLDIA comosa"
2169,"Asphodelaceae","LEOPOLDIA comosa 'Plumosum' f. album"
2170,"Asphodelaceae","LEOPOLDIA cycladica JJA0.689.210"
2171,"Asphodelaceae","LEOPOLDIA spreitzenhoferi"
2172,"Asphodelaceae","LEOPOLDIA tenuiflora"
2173,"Asphodelaceae","LEOPOLDIA weissii"
2180,"Amaryllidaceae","LEUCOJUM aestivum"
2181,"Amaryllidaceae","LEUCOJUM vernum"
2182,"Amaryllidaceae","LEUCOJUM vernum subsp. carpathicum"
2187,"Montiaceae","LEWISIA 'Little Mango'"
2188,"Montiaceae","LEWISIA 'Little Peach'"
2189,"Montiaceae","LEWISIA 'Little Plum'"
2186,"Montiaceae","LEWISIA Brynhyfryd hybrids"
2190,"Montiaceae","LEWISIA brachycalyx"
2191,"Montiaceae","LEWISIA columbiana subsp. rupicola"
5210,"Montiaceae","LEWISIA cotyledon"
2192,"Montiaceae","LEWISIA cotyledon"
2195,"Montiaceae","LEWISIA cotyledon 'Mountain Dreams'"
2193,"Montiaceae","LEWISIA cotyledon hybrids"
2194,"Montiaceae","LEWISIA cotyledon pink"
2196,"Montiaceae","LEWISIA longipetala"
2197,"Montiaceae","LEWISIA nevadensis"
2198,"Montiaceae","LEWISIA nevadensis f. rosea"
2199,"Montiaceae","LEWISIA pygmaea"
2200,"Montiaceae","LEWISIA pygmaea white"
5211,"Montiaceae","LEWISIA rediviva"
2201,"Montiaceae","LEWISIA tweedyi"
2203,"Montiaceae","LEWISIA tweedyi f. alba"
2204,"Montiaceae","LEWISIA tweedyi f. rosea"
2202,"Montiaceae","LEWISIA tweedyi lemon"
2205,"Asteraceae","LIATRIS spicata"
2206,"Asteraceae","LIATRIS spicata 'Floristan Weiss'"
2207,"Asteraceae","LIATRIS spicata f. alba"
2208,"Iridaceae","LIBERTIA grandiflora"
2209,"Iridaceae","LIBERTIA peregrinans 'Gold Stripe'"
2216,"Liliaceae","LILIUM 'Christopher North'"
2217,"Liliaceae","LILIUM 'Claude Shride'"
2218,"Liliaceae","LILIUM 'Fairy Morning'"
2219,"Liliaceae","LILIUM 'Gaybird'"
2220,"Liliaceae","LILIUM 'Mrs R.O.Backhouse'"
2221,"Liliaceae","LILIUM 'Orange Marmalade'"
2222,"Liliaceae","LILIUM 'Red Velvet'"
2223,"Liliaceae","LILIUM akkusianum"
2224,"Liliaceae","LILIUM auratum"
2225,"Liliaceae","LILIUM brownii"
2226,"Liliaceae","LILIUM bulbiferum"
2227,"Liliaceae","LILIUM callosum yellow"
2228,"Liliaceae","LILIUM candidum"
5213,"Liliaceae","LILIUM columbianum"
2231,"Liliaceae","LILIUM davidii"
2232,"Liliaceae","LILIUM distichum"
2233,"Liliaceae","LILIUM duchartrei"
2234,"Liliaceae","LILIUM duchartrei cf."
2236,"Liliaceae","LILIUM formosanum subsp. pricei"
2235,"Liliaceae","LILIUM formosanum white brown pollen"
2237,"Liliaceae","LILIUM hansonii"
2238,"Liliaceae","LILIUM henryi"
5214,"Liliaceae","LILIUM humboldtii subsp. ocellatum"
2239,"Liliaceae","LILIUM lancifolium"
2240,"Liliaceae","LILIUM lankongense"
2241,"Liliaceae","LILIUM ledebourii"
2242,"Liliaceae","LILIUM leichtlinii"
2243,"Liliaceae","LILIUM leucanthum"
2244,"Liliaceae","LILIUM lijiangense"
2245,"Liliaceae","LILIUM longiflorum"
2246,"Liliaceae","LILIUM longiflorum dwarf"
2247,"Liliaceae","LILIUM mackliniae"
2248,"Liliaceae","LILIUM mackliniae 'Naga Pink'"
2249,"Liliaceae","LILIUM mackliniae Tantallon hybs."
2250,"Liliaceae","LILIUM mackliniae subsp. saramatense"
2251,"Liliaceae","LILIUM martagon"
2256,"Liliaceae","LILIUM martagon 'Akamina'"
2257,"Liliaceae","LILIUM martagon 'Bronze Medallion'"
2258,"Liliaceae","LILIUM martagon 'Manitoba Morning'"
2259,"Liliaceae","LILIUM martagon 'Nordlandia'"
2260,"Liliaceae","LILIUM martagon 'Quarry Wood strain'"
2261,"Liliaceae","LILIUM martagon 'Tsingense'"
2262,"Liliaceae","LILIUM martagon f. albiflorum"
2263,"Liliaceae","LILIUM martagon f. album"
2264,"Liliaceae","LILIUM martagon f. album hybrid"
2252,"Liliaceae","LILIUM martagon mixed"
2253,"Liliaceae","LILIUM martagon pink"
2265,"Liliaceae","LILIUM martagon subsp. cattaniae"
2266,"Liliaceae","LILIUM martagon subsp. daugavense"
2254,"Liliaceae","LILIUM martagon white/yellow hyb."
2267,"Liliaceae","LILIUM martagon x hansonii hybrids"
2255,"Liliaceae","LILIUM martagon yellow/pink/silver hyb."
2268,"Liliaceae","LILIUM monadelphum"
2269,"Liliaceae","LILIUM nanum"
2270,"Liliaceae","LILIUM nanum ex Sikkim"
2271,"Liliaceae","LILIUM nepalense"
2272,"Liliaceae","LILIUM oxypetalum"
2273,"Liliaceae","LILIUM oxypetalum subsp. insigne"
5215,"Liliaceae","LILIUM pardalinum subsp. pardalinum"
5216,"Liliaceae","LILIUM parryi"
2274,"Liliaceae","LILIUM polyphyllum"
2275,"Liliaceae","LILIUM pomponium"
2276,"Liliaceae","LILIUM pumilum"
2277,"Liliaceae","LILIUM pyrenaicum"
2278,"Liliaceae","LILIUM regale"
2279,"Liliaceae","LILIUM regale f. album"
2280,"Liliaceae","LILIUM rubellum"
2281,"Liliaceae","LILIUM sargentiae"
2282,"Liliaceae","LILIUM wallichianum"
5217,"Liliaceae","LILIUM washingtonianum subsp. purpurascens"
2229,"Liliaceae","LILIUM x dalhansonii"
2230,"Liliaceae","LILIUM x dalhansonii 'Marhan'"
5224,"Apiaceae","LOMATIUM canbyi"
5225,"Apiaceae","LOMATIUM dissectum"
2314,"Apiaceae","LOMATIUM grayi"
5226,"Apiaceae","LOMATIUM nudicaule low form"
5221,"Apiaceae","LOMATIUM sp. A 15-20cm in seed"
5222,"Apiaceae","LOMATIUM sp. B 15-30cm in seed"
5223,"Apiaceae","LOMATIUM sp. C 15-20cm in seed"
2323,"Fabaceae","LUPINUS 'My Castle'"
2324,"Fabaceae","LUPINUS Russell hybrids"
2325,"Fabaceae","LUPINUS arboreus"
2327,"Fabaceae","LUPINUS arboreus 'Snow Queen'"
2326,"Fabaceae","LUPINUS arboreus white"
2328,"Fabaceae","LUPINUS arcticus"
5228,"Fabaceae","LUPINUS burkei"
2329,"Fabaceae","LUPINUS hartwegii"
2322,"Fabaceae","LUPINUS hybs. mixed"
2330,"Fabaceae","LUPINUS lepidus"
5229,"Fabaceae","LUPINUS lepidus subsp. lobbii"
2331,"Fabaceae","LUPINUS nootkatensis"
2332,"Fabaceae","LUPINUS perennis"
2333,"Fabaceae","LUPINUS pilosus"
2334,"Fabaceae","LUPINUS polyphyllus"
2335,"Fabaceae","LUPINUS variegatus"
2344,"Asphodelaceae","MAIANTHEMUM racemosum"
2354,"Solanaceae","MANDRAGORA officinarum"
2356,"Asphodelaceae","MASSONIA depressa"
2357,"Asphodelaceae","MASSONIA echinata"
2358,"Asphodelaceae","MASSONIA longipes"
2359,"Asphodelaceae","MASSONIA pustulata"
5231,"Liliaceae","MEDEOLA virginiana"
2416,"Phrymaceae","MIMULUS alatus"
2417,"Phrymaceae","MIMULUS cardinalis"
5234,"Phrymaceae","MIMULUS cardinalis"
2418,"Phrymaceae","MIMULUS cupreus"
2419,"Phrymaceae","MIMULUS guttatus"
2420,"Phrymaceae","MIMULUS lewisii"
2421,"Phrymaceae","MIMULUS luteus"
2422,"Phrymaceae","MIMULUS naiandinus"
5235,"Phrymaceae","MIMULUS tilingii"
2423,"Caryophyllaceae","MINUARTIA laricifolia subsp. kitaibelii"
2424,"Nyctaginaceae","MIRABILIS multiflora"
2429,"Iridaceae","MORAEA alticola"
2430,"Iridaceae","MORAEA aristata"
2431,"Iridaceae","MORAEA aristata hybrid"
2432,"Iridaceae","MORAEA bipartita"
2433,"Iridaceae","MORAEA collina"
2434,"Iridaceae","MORAEA elegans"
2435,"Iridaceae","MORAEA gigandra"
2436,"Iridaceae","MORAEA huttonii"
2437,"Iridaceae","MORAEA longifolia"
2438,"Iridaceae","MORAEA macronyx"
2439,"Iridaceae","MORAEA marlothii"
2440,"Iridaceae","MORAEA polystachya"
2441,"Iridaceae","MORAEA saxicola"
2442,"Iridaceae","MORAEA setifolia"
2443,"Iridaceae","MORAEA simulans"
2444,"Iridaceae","MORAEA spathulata"
2445,"Iridaceae","MORAEA vegeta"
2446,"Iridaceae","MORAEA vegeta dwarf"
2449,"Musaceae","MUSA velutina"
2454,"Asphodelaceae","MUSCARI 'Pink Sunrise'"
2455,"Asphodelaceae","MUSCARI armeniacum"
2457,"Asphodelaceae","MUSCARI armeniacum 'Argaei'"
2458,"Asphodelaceae","MUSCARI armeniacum 'Blue Spike'"
2456,"Asphodelaceae","MUSCARI armeniacum pink ex JCA"
2459,"Asphodelaceae","MUSCARI aucheri 'Autumn Glory'"
2460,"Asphodelaceae","MUSCARI aucheri 'Mount Hood'"
2461,"Asphodelaceae","MUSCARI aucheri 'Mount Hood'"
2462,"Asphodelaceae","MUSCARI commutatum"
2463,"Asphodelaceae","MUSCARI kerkis"
2464,"Asphodelaceae","MUSCARI latifolium"
2465,"Asphodelaceae","MUSCARI leucostomum"
2466,"Asphodelaceae","MUSCARI macrocarpum"
2467,"Asphodelaceae","MUSCARI neglectum"
2468,"Asphodelaceae","MUSCARI neglectum cf. ex Greece"
2469,"Asphodelaceae","MUSCARI neglectum subsp. grandifolium"
2470,"Asphodelaceae","MUSCARI pulchellum KP98024"
2471,"Asphodelaceae","MUSCARI racemosum"
2472,"Asphodelaceae","MUSCARI sosnowskyi"
2450,"Asphodelaceae","MUSCARI sp.  20cm"
2451,"Asphodelaceae","MUSCARI sp.  BATM303"
2452,"Asphodelaceae","MUSCARI sp.  pale blue"
2453,"Asphodelaceae","MUSCARI sp.  tall ex Romania"
