"n","f","taxon"
3685,"Tropaeolaceae","TROPAEOLUM brachyceras"
3686,"Tropaeolaceae","TROPAEOLUM majus 'Orchid Flame'"
3687,"Tropaeolaceae","TROPAEOLUM speciosum"
3688,"Tropaeolaceae","TROPAEOLUM tricolor"
3689,"Amaryllidaceae","TULBAGHIA 'John May's Special'"
3690,"Amaryllidaceae","TULBAGHIA galpinii"
3691,"Amaryllidaceae","TULBAGHIA natalensis"
3692,"Amaryllidaceae","TULBAGHIA simmleri"
3693,"Amaryllidaceae","TULBAGHIA simmleri white"
3694,"Amaryllidaceae","TULBAGHIA violacea"
3695,"Amaryllidaceae","TULBAGHIA violacea f. alba"
3696,"Amaryllidaceae","TULBAGHIA violacea subsp. maritima"
3697,"Amaryllidaceae","TULBAGHIA violacea subsp. robustior"
3699,"Liliaceae","TULIPA 'Don Cossack'"
3700,"Liliaceae","TULIPA 'The First'"
3701,"Liliaceae","TULIPA 'Zurel'"
3702,"Liliaceae","TULIPA armena"
3703,"Liliaceae","TULIPA biflora"
3704,"Liliaceae","TULIPA binutans"
3705,"Liliaceae","TULIPA clusiana"
3707,"Liliaceae","TULIPA clusiana 'Cynthia'"
3706,"Liliaceae","TULIPA clusiana mixed cvs"
3708,"Liliaceae","TULIPA clusiana subsp. chrysantha"
3709,"Liliaceae","TULIPA cretica"
3710,"Liliaceae","TULIPA ferganica"
3711,"Liliaceae","TULIPA gesneriana"
3712,"Liliaceae","TULIPA hissarica"
3713,"Liliaceae","TULIPA iliensis"
3714,"Liliaceae","TULIPA kaufmanniana"
3715,"Liliaceae","TULIPA lemmersii"
3716,"Liliaceae","TULIPA linifolia"
3717,"Liliaceae","TULIPA montana"
3718,"Liliaceae","TULIPA polychroma"
3719,"Liliaceae","TULIPA saxatilis subsp. bakeri var.  'Lilac Wonder'"
3698,"Liliaceae","TULIPA sp. JCA17630"
3720,"Liliaceae","TULIPA sprengeri"
3721,"Liliaceae","TULIPA sprengeri 'Trotter's Form'"
3722,"Liliaceae","TULIPA sylvestris"
3723,"Liliaceae","TULIPA sylvestris subsp. australis"
3724,"Liliaceae","TULIPA tarda"
3725,"Liliaceae","TULIPA tetraphylla"
3726,"Liliaceae","TULIPA turkestanica"
3727,"Liliaceae","TULIPA vvedenskyi"
3728,"Liliaceae","TULIPA whittallii"
3729,"Crassulaceae","UMBILICUS rupestris"
3741,"Asphodelaceae","VELTHEIMIA bracteata"
3740,"Asphodelaceae","VELTHEIMIA sp. yellow"
3742,"Melanthiaceae","VERATRUM nigrum"
3813,"Haemodoraceae","WACHENDORFIA thyrsiflora"
3815,"Iridaceae","WATSONIA aletroides"
3816,"Iridaceae","WATSONIA borbonica"
3817,"Iridaceae","WATSONIA marginata"
3818,"Iridaceae","WATSONIA marlothii"
3819,"Iridaceae","WATSONIA pillansii hybrid pink"
3823,"Colchicaceae","WURMBEA stricta"
5325,"Melanthiaceae","XEROPHYLLUM tenax"
3826,"Tecophilaeaceae","ZEPHYRA elegans"
3827,"Amaryllidaceae","ZEPHYRANTHES 'Big Dude'"
3828,"Amaryllidaceae","ZEPHYRANTHES atamasco"
3830,"Amaryllidaceae","ZEPHYRANTHES katheriniae f. rubra"
3829,"Amaryllidaceae","ZEPHYRANTHES katheriniae red"
3831,"Amaryllidaceae","ZEPHYRANTHES minuta"
3832,"Amaryllidaceae","ZEPHYRANTHES miradorensis"
3833,"Melanthiaceae","ZIGADENUS elegans"
