Number	Family Name	Name	Garden/Wild	Live material
1074	Primulaceae	CYCLAMEN x hildebrandii (afr. x hed. )	Garden	
1075	Primulaceae	CYCLAMEN intaminatum	Garden	
1076	Primulaceae	CYCLAMEN libanoticum	Garden	
1077	Primulaceae	CYCLAMEN x meiklei (creticum x repandum)	Garden	
1078	Primulaceae	CYCLAMEN mirabile	Garden	
1079	Primulaceae	CYCLAMEN mirabile 'Tilebarn Nicholas'	Garden	
1080	Primulaceae	CYCLAMEN parviflorum	Garden	
1081	Primulaceae	CYCLAMEN persicum	Garden	
1082	Primulaceae	CYCLAMEN persicum ex Israel high alt.	Garden	
1083	Primulaceae	CYCLAMEN persicum red (florists)	Garden	
1084	Primulaceae	CYCLAMEN persicum white	Garden	
1085	Primulaceae	CYCLAMEN pseudibericum	Garden	
1086	Primulaceae	CYCLAMEN pseudibericum OS743	Garden	
1087	Primulaceae	CYCLAMEN purpurascens	Garden	
1088	Primulaceae	CYCLAMEN purpurascens 'Lake Bled form'	Garden	
1089	Primulaceae	CYCLAMEN purpurascens 'Xmas tree'	Garden	
1090	Primulaceae	CYCLAMEN repandum	Garden	
1091	Primulaceae	CYCLAMEN rhodium subsp. peloponnesiacum	Garden	
1092	Primulaceae	CYCLAMEN rhodium subsp. peloponnesiacum JJA368.009	Garden	
1093	Primulaceae	CYCLAMEN rhodium subsp. peloponnesiacum f. album	Garden	
1094	Primulaceae	CYCLAMEN rohlfsianum	Garden	
1095	Primulaceae	CYCLAMEN x saundersiae (repandum x balearicum)	Garden	
1096	Asteraceae	CYNARA tournefortii	Garden	
1097	Boraginaceae	CYNOGLOSSUM sp. pink	Garden	
1098	Boraginaceae	CYNOGLOSSUM dioscoridis	Garden	
1099	Boraginaceae	CYNOGLOSSUM nervosum	Garden	
1100	Boraginaceae	CYNOGLOSSUM zeylanicum	Garden	
1101	Iridaceae	CYPELLA caerulea	Garden	
1102	Iridaceae	CYPELLA coelestis	Garden	
1103	Iridaceae	CYPELLA herbertii	Garden	
1104	Orchidaceae	CYPRIPEDIUM parviflorum subsp. pubescens	Garden	
1105	Amaryllidaceae	CYRTANTHUS brachyscyphus	Garden	
1106	Ericaceae	DABOECIA cantabrica 'Alberta White'	Garden	
1107	Papaveraceae	DACTYLICAPNOS scandens	Garden	
1108	Orchidaceae	DACTYLORHIZA elata	Garden	
1109	Orchidaceae	DACTYLORHIZA foliosa	Garden	
1110	Orchidaceae	DACTYLORHIZA maculata	Garden	
1111	Orchidaceae	DACTYLORHIZA praetermissa	Garden	
1112	Orchidaceae	DACTYLORHIZA purpurella	Garden	
1113	Asteraceae	DAHLIA coccinea	Garden	
1114	Asteraceae	DAHLIA imperialis	Garden	
1115	Asteraceae	DAHLIA merckii	Garden	
1116	Asteraceae	DAHLIA sorensenii	Garden	
1117	Thymelaeaceae	DAPHNE sp. pink fl orange fr 15cm	Garden	
1118	Thymelaeaceae	DAPHNE acutiloba	Garden	
1119	Thymelaeaceae	DAPHNE albowiana	Garden	
1120	Thymelaeaceae	DAPHNE alpina	Garden	
1121	Thymelaeaceae	DAPHNE domini	Garden	
1122	Thymelaeaceae	DAPHNE gemmata	Garden	
1123	Thymelaeaceae	DAPHNE genkwa f. Chinese	Garden	
1124	Thymelaeaceae	DAPHNE giraldii	Garden	
1125	Thymelaeaceae	DAPHNE giraldii HeHeHe040	Garden	
1126	Thymelaeaceae	DAPHNE giraldii JJA4.250.610	Garden	
1127	Thymelaeaceae	DAPHNE kosaninii	Garden	
1128	Thymelaeaceae	DAPHNE laureola	Garden	
1129	Thymelaeaceae	DAPHNE laureola 'Margaret Mathew'	Garden	
1130	Thymelaeaceae	DAPHNE mezereum	Garden	
1131	Thymelaeaceae	DAPHNE mezereum purple	Garden	
1132	Thymelaeaceae	DAPHNE mezereum f. alba	Garden	
1133	Thymelaeaceae	DAPHNE oleoides 'Palermo'	Garden	
1134	Thymelaeaceae	DAPHNE reichsteinii	Garden	
1135	Thymelaeaceae	DAPHNE retusa	Garden	
1136	Thymelaeaceae	DAPHNE tangutica	Garden	
1137	Thymelaeaceae	DAPHNE tangutica 'Retusa Group'	Garden	
1138	Saxifragaceae	DARMERA peltata	Garden	
1139	Asphodelaceae	DAUBENYA aurea mixed	Garden	
1140	Lardizabalaceae	DECAISNEA fargesii	Garden	
1141	Brassicaceae	DEGENIA velebitica	Garden	
1142	Hydrangeaceae	DEINANTHE sp. caerulea?	Garden	
1143	Hydrangeaceae	DEINANTHE bifida	Garden	
1144	Hydrangeaceae	DEINANTHE caerulea	Garden	
1145	Aizoaceae	DELOSPERMA congestum	Garden	
1146	Aizoaceae	DELOSPERMA sutherlandii	Garden	
1147	Ranunculaceae	DELPHINIUM  mixed	Garden	
1148	Ranunculaceae	DELPHINIUM hyb. white/black eye	Garden	
1149	Ranunculaceae	DELPHINIUM sp. blue	Garden	
1150	Ranunculaceae	DELPHINIUM sp. blue 15cm	Garden	
1151	Ranunculaceae	DELPHINIUM 'Belladona Group'	Garden	
1152	Ranunculaceae	DELPHINIUM brunonianum	Garden	
1153	Ranunculaceae	DELPHINIUM caucasicum	Garden	
1154	Ranunculaceae	DELPHINIUM confusum	Garden	
1155	Ranunculaceae	DELPHINIUM decorum	Garden	
1156	Ranunculaceae	DELPHINIUM dictyocarpum	Garden	
1157	Ranunculaceae	DELPHINIUM elatum mixed blue 	Garden	
1158	Ranunculaceae	DELPHINIUM elatum pale blue	Garden	
1159	Ranunculaceae	DELPHINIUM fissum ex Ukraine	Garden	
1160	Ranunculaceae	DELPHINIUM grandiflorum	Garden	
1161	Ranunculaceae	DELPHINIUM grandiflorum pale blue	Garden	
1162	Ranunculaceae	DELPHINIUM iliense	Garden	
1163	Ranunculaceae	DELPHINIUM kamaonense	Garden	
1164	Ranunculaceae	DELPHINIUM leucophaeum	Garden	
1165	Ranunculaceae	DELPHINIUM likiangense	Garden	
1166	Ranunculaceae	DELPHINIUM luteum	Garden	
1167	Ranunculaceae	DELPHINIUM maackianum	Garden	
1168	Ranunculaceae	DELPHINIUM orfordii	Garden	
1169	Ranunculaceae	DELPHINIUM pylzowii	Garden	
1170	Ranunculaceae	DELPHINIUM requienii	Garden	
1171	Ranunculaceae	DELPHINIUM semibarbatum	Garden	
1172	Ranunculaceae	DELPHINIUM staphisagria	Garden	
1173	Ranunculaceae	DELPHINIUM sutchuenense	Garden	
1174	Ranunculaceae	DELPHINIUM taliense f. hirsutum	Garden	
1175	Ranunculaceae	DELPHINIUM tatsienense	Garden	
1176	Asphodelaceae	DIANELLA tasmanica	Garden	
1177	Caryophyllaceae	DIANTHUS 'Badenia'	Garden	
1178	Caryophyllaceae	DIANTHUS 'Dainty Dame'	Garden	
1179	Caryophyllaceae	DIANTHUS 'Kahori'	Garden	
1180	Caryophyllaceae	DIANTHUS 'La Bourboule'	Garden	
1181	Caryophyllaceae	DIANTHUS 'Pixie'	Garden	
1182	Caryophyllaceae	DIANTHUS 'Sops-in-Wine'	Garden	
1183	Caryophyllaceae	DIANTHUS 'Supernova'	Garden	
1184	Caryophyllaceae	DIANTHUS alpinus	Garden	
1185	Caryophyllaceae	DIANTHUS alpinus dark	Garden	
1186	Caryophyllaceae	DIANTHUS alpinus 'Joan's Blood'	Garden	
1187	Caryophyllaceae	DIANTHUS amurensis	Garden	
1188	Caryophyllaceae	DIANTHUS anatolicus	Garden	
1189	Caryophyllaceae	DIANTHUS arenarius	Garden	
1190	Caryophyllaceae	DIANTHUS armeria	Garden	
1191	Caryophyllaceae	DIANTHUS arpadianus f. pumilus	Garden	
1192	Caryophyllaceae	DIANTHUS barbatus	Garden	
1193	Caryophyllaceae	DIANTHUS barbatus mixed	Garden	
1194	Caryophyllaceae	DIANTHUS barbatus pink	Garden	
1195	Caryophyllaceae	DIANTHUS callizonus	Garden	
1196	Caryophyllaceae	DIANTHUS carthusianorum	Garden	
1197	Caryophyllaceae	DIANTHUS carthusianorum 'Rupert's Pink'	Garden	
1198	Caryophyllaceae	DIANTHUS deltoides	Garden	
1199	Caryophyllaceae	DIANTHUS deltoides red	Garden	
1200	Caryophyllaceae	DIANTHUS deltoides white	Garden	
1201	Caryophyllaceae	DIANTHUS deltoides 'Albus'	Garden	
1202	Caryophyllaceae	DIANTHUS deltoides 'Arctic Fire'	Garden	
1203	Caryophyllaceae	DIANTHUS deltoides 'Brilliant'	Garden	
1204	Caryophyllaceae	DIANTHUS deltoides 'Leuchtfunk'	Garden	
1205	Caryophyllaceae	DIANTHUS freynii	Garden	
1206	Caryophyllaceae	DIANTHUS giganteus	Garden	
1207	Caryophyllaceae	DIANTHUS glacialis subsp. gelidus	Garden	
1208	Caryophyllaceae	DIANTHUS gratianopolitanus	Garden	
1209	Caryophyllaceae	DIANTHUS haematocalyx subsp. pindicola	Garden	
1210	Caryophyllaceae	DIANTHUS knappii	Garden	
1211	Caryophyllaceae	DIANTHUS longicalyx	Garden	
1212	Caryophyllaceae	DIANTHUS lumnitzeri	Garden	
1213	Caryophyllaceae	DIANTHUS microlepis	Garden	
1214	Caryophyllaceae	DIANTHUS monspessulanus	Garden	
1215	Caryophyllaceae	DIANTHUS pavonius	Garden	
1216	Caryophyllaceae	DIANTHUS pavonius 'Select'	Garden	
1217	Caryophyllaceae	DIANTHUS simulans	Garden	
1218	Caryophyllaceae	DIANTHUS spiculifolius	Garden	
1219	Caryophyllaceae	DIANTHUS squarrosus	Garden	
1220	Caryophyllaceae	DIANTHUS sternbergii	Garden	
1221	Caryophyllaceae	DIANTHUS subacaulis	Garden	
1222	Caryophyllaceae	DIANTHUS superbus	Garden	
1223	Caryophyllaceae	DIANTHUS superbus subsp. superbus	Garden	
1224	Caryophyllaceae	DIANTHUS sylvestris	Garden	
1225	Caryophyllaceae	DIANTHUS sylvestris subsp. bertisceus	Garden	
1226	Scrophulariaceae	DIASCIA 'Pink Queen'	Garden	
1227	Papaveraceae	DICENTRA cucullaria	Garden	Yes
1228	Asphodelaceae	DICHELOSTEMMA congestum	Garden	
1229	Asphodelaceae	DICHELOSTEMMA ida-maia	Garden	
