Seed #,Genus/species,Description,Origin
1357,Paeonia 'Abkhazi Princess',white/dark purple eye 161,G
1358,Paeonia anomala,pink to 1m 117 156,G
1359,Paeonia anomala ssp veitchii,pink 30-90cm 118,G
1360,Paeonia anomala ssp veitchii,rose-red 30-90cm 45 159,G
1361,Paeonia arietina,rose-red 30-70cm 32 83 161,G
1362,Paeonia cambessedesii,rose-pink to 45cm 67 64,G
1363,Paeonia corsica,pink 35-80cm 35,G
1364,Paeonia daurica,red 45cm 117,G
1365,Paeonia daurica ssp coriifolia,red 70-100cm 77,G
1366,Paeonia daurica ssp coriifolia,rose 70-100cm 103,G
1367,Paeonia daurica ssp mlokosewitschii,yellow 80-100cm 45 156,G
1368,Paeonia daurica ssp mlokosewitschii hybrid,159,G
1369,Paeonia daurica ssp wittmanniana,creamy yellow 80-100cm 45,G
1370,Paeonia delavayi,red 20-180cm 19,G
1371,Paeonia delavayi f lutea,yellow compact form 161,G
1372,Paeonia mairei,pink-red to 1m 103,G
1373,Paeonia mascula,light pink to 90cm 82,G
1374,Paeonia mascula ssp mascula,red-pink to 80cm 156,G
1375,Paeonia obovata,cream 30-70cm 5,G
1376,Paeonia obovata,mix 30-70cm 123,G
1377,Paeonia obovata,pink 30-70cm 109 113,G
1378,Paeonia obovata,white 30-70cm 3 123,G
1379,Paeonia officinalis ssp officinalis,red-pinkish 35-90cm 156,G
1380,Paeonia ostii,pale pink 90cm 102,G
1381,Paeonia ostii,white to 1.5m >,G
1382,Paeonia peregrina,brilliant red 30-50cm 160,G
1383,Paeonia rockii,mix to 1.8m 103,G
1384,Paeonia rockii,pink 60-180cm 103 161,G
1385,Paeonia rockii,rich pink to 1.8m 94,G
1386,Paeonia rockii,white/dark purple eye to 1.8m 73 114 161,G
1387,Paeonia rockii ssp linyanshanii,white/dark purple base to 1.8m 161,G
1388,Paeonia suffruticosa (x),dark red to 1.5m 103,G
1389,Paeonia suffruticosa (x),mix to 1.5m 5 169,G
1390,Paeonia suffruticosa (x),white to 1.5m 108 166,G
1391,Paeonia suffruticosa (x) v papaveracea,rose-pink/white to 2m 83,G
1392,Papaver alpinum,orange 5-25cm 118,G
1393,Papaver alpinum,pale orange 5-25cm 46,G
1394,Papaver apokrinomenon,soft orange 20-30cm 74,G
1395,Papaver atlanticum,soft apricot orange to 45cm 13 95 151,G
1396,Papaver atlanticum 'Flore Pleno',semi-double orange 45-60cm 12 107 156,G
1397,Papaver burseri,pure white flr to 20cm 30,G
1398,Papaver cambricum,mix 40-60cm 90,G
1399,Papaver cambricum,yellow 40-60cm 26 43,G
1400,Papaver cambricum flore-pleno,mix 40-60cm 77,G
1401,Papaver commutatum 'Ladybird',red/black-spotted base to 45cm 49,G
1402,Papaver croceum (aff),yellow 30-40cm 49,G
1403,Papaver degenii,yellow 5-15cm 46,G
1404,Papaver lasiothrix,deep red 60-90cm 132,G
1405,Papaver nudicaule,mix 10-40cm 15,G
1406,Papaver orientale,orange/red 30-90cm 15,G
1407,Papaver orientale 'Prinzessin Victoria Louise',salmon-pink/black center 60-90cm 19,G
1408,Papaver popovii,orange 10-25cm 180 105,G
1409,Papaver radicatum ssp kluanensis,yellow to 17cm 154,G
1410,Papaver rhoeas,deep red 30cm 64,G
1411,Papaver rhoeas,red/black base to 70cm 151,G
1412,Papaver rhoeas,red/pink to 70cm 13,G
1413,Papaver somniferum,coral to 120cm 31,G
1414,Papaver somniferum,mix to 120cm 12,G
1415,Papaver somniferum 'Frosted Salmon',double salmon-pink/white edges 90cm 33,G
1416,Papaver somniferum 'Lauren's Grape',deep red-purple to 120cm 13 117,G
1417,Paradisea lusitanica,white 80-120cm 64 177,G
1418,Paris polyphylla,yellow-green 10-100cm 64,G
1419,Paris quadrifolia,yellow-green flr/blue-black frt 25-40cm 37,G
1420,Parnassia asarifolia,white/green veins 18-50cm 137,G
1421,Parodia erubescens (x),lemon yellow 20cm 170,G
1422,Parodia mammulosa ssp submammulosa,yellow/pale pink 5-10cm 170,G
1423,Parodia ottonis,yellow to 15cm 170,G
1424,Pasithea caerulea,blue 60cm 128,G
1425,Patrinia gibbosa,yellow 20-60cm 183,G
1426,Patrinia scabiosifolia,yellow 30-100cm 149,G
1427,Pavonia praemorsa,pale yellow flr/apricot buds 1-2m 76,G
1428,Pedicularis groenlandica,pink-purple 10-60cm 154,G
1429,Pelargonium endlicherianum,deep pink-maroon veins 20-35cm >,G
1430,Pelargonium quercetorum,hot pink 60cm 78,G
1431,Peltoboykinia tellimoides,pale yellow 20-100cm 47,G
1432,Peltoboykinia watanabei,cream-yellow 45-85cm 88 90 186,G
1433,Penstemon aridus,blue-purple 5-25cm 130 164,G
1434,Penstemon azureus ssp angustissimus,violet-blue/purple 13-50cm 180,G
1435,Penstemon barbatus,blue/pink mix 60-90cm 158,G
1436,Penstemon barbatus,orange 120cm 88,G
1437,Penstemon barrettiae,lilac/rose-purple 15-40cm 68,G
1438,Penstemon californicus,blue-purple 10-30cm 61,G
1439,Penstemon calycosus,whitish 60-90cm 173,G
1440,Penstemon cardinalis,deep red 40-70cm 70 86,G
1441,Penstemon cardwellii,bright purple/blue-violet 10-30cm 134 154,G
1442,Penstemon cardwellii,lavender 10-30cm 113,G
1443,Penstemon cardwellii hybrid,lavender blue 10cm 175,G
1444,Penstemon cardwellii hybrids,mix 77,G
1445,Penstemon cobaea,purple to 60cm 124,G
1446,Penstemon cyaneus,dark blue-violet 30-70cm 77,G
1447,Penstemon 'Dark Towers',pale pink flr/dark bronze-red lvs 45-90cm 33 160,G
1448,Penstemon davidsonii,blue-lavender/purple 10-15cm 109,G
1449,Penstemon davidsonii,white 10-15cm 134,G
1450,Penstemon davidsonii v menziesii,purple-lavender 5-10cm 77 154,G
1451,Penstemon deustus,cream/purple lines 20-40cm 4,G
1452,Penstemon digitalis,white 70-150cm 88,G
1453,Penstemon digitalis 'Gold Foil',white-pinkish flr/yellow-bronze lvs 30-50cm 170,G
1454,Penstemon digitalis 'Husker Red',white flr/maroon lvs to 90cm 8,G
1455,Penstemon digitalis 'Mystica',white-lavender flr/burgundy lvs to 150cm 9,G
1456,Penstemon eatonii,deep scarlet-red 40-100cm 144 180,G
1457,Penstemon fruticosus hybrids,mix 77,G
1458,Penstemon fruticosus v fruticosus,blue-lavender/light purple 15-40cm 32,G
1459,Penstemon fruticosus v serratus,pink 15-40cm 52,G
1460,Penstemon gairdneri v gairdneri,blue-lavender/rose-purple 10-40cm 119,G
1461,Penstemon grandiflorus,dark pink 35cm 86,G
1462,Penstemon grandiflorus,lilac 50-100cm 180,G
1463,Penstemon grandiflorus,mix 50-100cm 47 96,G
1464,Penstemon grandiflorus,pale pink 60cm 164,G
1465,Penstemon grandiflorus,white-pale pink 50-100cm 129,G
1466,Penstemon grandiflorus (ex Isanti Co MN),pink/mauve 100cm 124,G
1467,Penstemon grandiflorus 'War Axe' strain,mix 60-90cm 70,G
1468,Penstemon hallii,deep blue-purple 16-20cm 164,G
1469,Penstemon haydenii,milky blue-lavender 15-45cm 154,G
1470,Penstemon heterophyllus,blue-violet/purple 30-150cm 180,G
1471,Penstemon hirsutus,lavender-violet/white 20-60cm 156 180,G
1472,Penstemon hirsutus,pink 20-60cm 79,G
1473,Penstemon hirsutus 'Pygmaeus',lavender/pink 15cm 84 113,G
1474,Penstemon hirsutus 'Pygmaeus',lavender/white 15cm >,G
1475,Penstemon hirsutus 'Pygmaeus',pink 15cm 79,G
1476,Penstemon hirsutus 'Pygmaeus',purple 15cm 139,G
1477,Penstemon hirsutus 'Pygmaeus',white 15cm 75 118,G
1478,Penstemon humilis ssp brevifolius,dark blue 10-20cm 77,G
1479,Penstemon laricifolius,cream/pink/lavender 10-20cm 156,G
1480,Penstemon laricifolius ssp laricifolius,red-purple/pink 10-20cm 61,G
1481,Penstemon linarioides,pale blue-violet 10-50cm 144,G
1482,Penstemon linarioides ssp coloradoensis,blue-lavender flr/gray lvs 30cm 32,G
1483,Penstemon lyallii,pale lavender 30-80cm 119,G
1484,Penstemon mensarum,dark purple-blue 40-50cm 78 144 154,G
1485,Penstemon newberryi hybrids,pink 77,G
1486,Penstemon newberryi ssp sonomensis,cherry red 12-30cm 68,G
1487,Penstemon nitidus,bright blue-pinkish flr/blue-grey lvs 10-30cm 118,G
1488,Penstemon ovatus,blue-purple 30-100cm 5 134,G
1489,Penstemon palmeri,white tinged pink-deep pink 50-180cm 70 86,G
1490,Penstemon pinifolius,red 10-50cm 156 175,G
1491,Penstemon pinifolius 'Mersea Yellow',yellow 20-30cm 156,G
1492,Penstemon procerus,blue 5-15cm 144,G
1493,Penstemon procerus,cream 5-40cm 134,G
1494,Penstemon procerus,deep blue-purple 5-40cm 119,G
1495,Penstemon procerus,lavender 5-25cm 144,G
1496,Penstemon pseudospectabilis,deep reddish-pink/magenta 30-100cm 144 180,G
1497,Penstemon richardsonii,pink-lavender/blue 20-80cm 93,G
1498,Penstemon roseus,red/crimson to 120cm 143,G
1499,Penstemon rostriflorus,scarlet 30-100cm 156,G
1500,Penstemon rupicola,pink-deep rose to 10cm 154 175,G
1501,Penstemon rupicola,purple to 10cm 154,G
1502,Penstemon rupicola hybrids,mix 77,G
1503,Penstemon rydbergii,blue-purple 20-70cm 154,G
1504,Penstemon secundiflorus,mix 15-50cm 35,G
1505,Penstemon serrulatus,deep blue-purple 20-70cm >,G
1506,Penstemon serrulatus,pink-purple 40-45cm 26,G
1507,Penstemon smallii,pale red-purple 40-60cm 62 155 180,G
1508,Penstemon spatulatus,blue-violet 10-25cm 119,G
1509,Penstemon strictus,deep blue/violet 35-70cm 154,G
1510,Penstemon superbus,scarlet 30-120cm 70,G
1511,Penstemon tenuis,pink 40cm 173,G
1512,Penstemon tenuis,violet-purple 40-90cm 143,G
1513,Penstemon uintahensis,sky blue 5-15cm 49 154,G
1514,Penstemon virens,deep blue-violet 10-40cm 46,G
1515,Penstemon virgatus ssp asa-grayi,pale blue-purple 25-80cm 32,G
1516,Penstemon washingtonensis,deep blue-purple 10-25cm 49,G
1517,Penstemon whippleanus,dark wine purple 20-60cm 119,G
1518,Penstemon wilcoxii,blue-purple 30-100cm 20,G
1519,Penstemon wrightii,red-pink to 60cm 4,G
1520,Persicaria virginiana,white/pink 45-60cm 93,G
1521,Persicaria virginiana 'Painter's Palette',red flr/green-white-red lvs 45-60cm 55,G
1522,Petrocoptis glaucifolia,rose-pink to 15cm 41,G
1523,Petrophytum caespitosum,white to 10cm 112 156,G
1524,Petrophytum cinerascens,cream flr/greyish lvs 5-15cm 134,G
1525,Petunia exserta,bright red 30-60cm 26 105,G
1526,Petunia patagonica,cream-white/dark purple veins 15cm 156,G
1527,Peucedanum verticillare,yellow-green flr/purple stems & new lvs 180-200cm 177,G
1528,Phacelia sericea,dark blue-purple flr/silvery silky lvs 10-60cm 109,G
1529,Phacelia tanacetifolia,blue-lavender 15-100cm 109,G
1530,Phalocallis (Cypella) coelestis,blue-lavender 30-90cm 53 117 172,G
1531,Phegopteris decursive-pinnata,30-60cm 33,G
1532,Phemeranthus brevifolius,rose/lavender/white 6cm 100,G
1533,Phemeranthus calcaricus,rose-purple to 25cm 79,G
1534,Phemeranthus calycinus,pink/red-purple 25-40cm >,G
1535,Phleum sp (ex Kazakhstan),green 60cm 152,G
1536,Phlomis sieheana,yellow 15-30cm 32,G
1537,Phlomoides maximowiczii,pink-purple 80-100cm 170,G
1538,Phlomoides oreophila,purple 30-80cm 156,G
1539,Phlox nana,bright pink 10-30cm 52,G
1540,Phuopsis stylosa,pink 15-20cm 71 147,G
1541,Physaria bellii,yellow flr/silvery hairy lvs 5-13cm 52,G
1542,Physaria ovalifolia,yellow 5-25cm 156,G
1543,Physaria reediana,pale green-yellow 2-4cm 6,G
1544,Physaria sp,green lvs compact 178,G
1545,Physostegia virginiana 'Rose Queen',pink to 90cm 8,G
1546,Phyteuma scheuchzeri,deep blue to 40cm >,G
1547,Phyteuma sieberi,deep blue 10cm 156,G
1548,"Phyteuma sp (mix of scheuchzeri, sieberi, hemisphaericum)",blue 20-40cm 169,G
1549,Phytolacca acinosa,white-yellowish greenish flr/purple black frt 50-150cm 98,G
1550,Phytolacca americana 'Silberstein',white flr/cream-speckled variegated lvs 1-1.8m 175,G
1551,Pinellia pedatisecta,yellowish-green to 45cm 81,G
1552,Pinellia tripartita,whitish-light green 30-35cm 55 159,G
1553,Plagiorhegma (Jeffersonia)dubium,pale lilac 10-30cm 77 107,G
1554,Plantago nivalis,brownish flr/white woolly lvs 2-10cm 44,G
1555,Platycodon grandiflorus,blue/purple 30-90cm 73 155 175,G
1556,Platycodon grandiflorus,pale pink/rose veins 20-90cm 175,G
1557,Platycodon grandiflorus,white semi-double 20-90cm 175,G
1558,Platycodon grandiflorus (dwarf form),blue 10-30cm 156,G
1559,Platycodon grandiflorus (dwarf form),rose 10-30cm 156,G
1560,Platycodon grandiflorus (dwarf form),white 10-30cm 156,G
1561,Platycodon grandiflorus 'Sentimental Blue',blue 15-30cm 89 95 128,G
1562,Polanisia (Cleome) dodecandra,white 10-60cm 42,G
1563,Polemonium brandegeei,pale yellow 10-30cm 144,G
1564,Polemonium caeruleum,white 45-60cm 146 175,G
1565,Polemonium caeruleum ssp himalayanum,blue to 1m 45,G
1566,Polemonium foliosissimum,light yellow 30-90cm 79,G
1567,Polemonium pauciflorum,clear pale yellow 25,G
1568,Polemonium pauciflorum,soft yellow/red tinge 15-30cm 175,G
1569,Poliothyrsis sinensis,yellowish-white 7-15m 173,G
1570,Pollia japonica,white flr/dark blue frt 30-90m 55,G
1571,Polygonatum biflorum (extra tall form) (moist packed),white-greenish yellow 150-180cm 183,G
1572,Polygonatum pubescens 'Gilty Pleasure',white flr/gold lvs 50-90cm 136,G
1573,Polystichum acrostichoides,30-80cm 14,G
1574,Polystichum polyblepharum,45-90cm 33,G
1575,Pontechium (Echium) maculatum,crimson red 40-70cm 54 124,G
1576,Potentilla erecta,yellow 10-30cm 98,G
1577,Potentilla megalantha,yellow 10-20cm 79 131,G
1578,Potentilla porphyrantha,pink flr/silver lvs 5-15m 5,G
1579,Potentilla pyrenaica,yellow 20-40cm 40,G
1580,Potentilla thurberi 'Monarch's Velvet',deep red/black center 30-60cm 147,G
1581,Potentilla villosa,yellow flr/woolly lvs 5-30cm 109,G
1582,Primula alpicola,mix 15-60cm 37,G
1583,Primula auricula,mix to 20cm 19,G
1584,Primula auricula,violet flr/silver farina lvs 118,G
1585,Primula auricula,yellow to 20cm 169,G
1586,Primula auricula v albocincta,yellow flr/grey-green white-edged lvs to 16cm 45,G
1587,Primula beesiana (syn burmanica),rose flr/efarinose lvs 20-50cm 65,G
1588,Primula bulleesiana (x),mix 45-60cm 37 136 175,G
1589,Primula bulleyana,deep orange 20-70cm 37,G
1590,Primula candelabra hybrids,mixed 50-75cm 175,G
1591,Primula capitata,purple-blue 10-45cm 37 77,G
1592,Primula capitata (ex CC3843),rich purple 10-45cm 37,G
1593,Primula florindae,mix 30-120cm 37,G
1594,Primula florindae,orange 30-120cm 140,G
1595,Primula florindae,red 30-120cm 37,G
1596,Primula florindae,yellow 30-120cm 37 154,G
1597,Primula halleri,lilac-violet 8-30cm 19,G
1598,Primula incana,lavender 2-46cm 19,G
1599,Primula japonica,bright pink-purple 45-60cm 155,G
1600,Primula japonica,cerise 45-60cm 128,G
1601,Primula japonica,dark rose-pink 45-60cm 101,G
1602,Primula japonica,magenta 45-60cm 43,G
1603,Primula japonica,orange 45-60cm 33,G
1604,Primula japonica,pink 45-60cm 77,G
1605,Primula japonica,pink/yellow 45-60cm 154,G
1606,Primula japonica,red 45-60cm 33,G
1607,Primula japonica,white 45-60cm 31,G
1608,Primula japonica 'Apple Blossom',pale pink to 60cm 37,G
1609,Primula japonica hybrids,crimson 75cm 175,G
1610,Primula laurentiana,lavender-pink 10-48cm 45,G
1611,Primula matthioli,deep pink-rose 20-25cm 92 19,G
1612,Primula matthioli,purple-violet 20-25cm 142,G
1613,Primula matthioli,white 20-25cm 43,G
1614,Primula parryi,magenta-pink 15-50cm 154,G
1615,Primula pulverulenta,rose-purple 25-100cm 37 64,G
1616,Primula scotica,violet/red-purple to 10cm 37 58,G
1617,Primula secundiflora,rose-purple/deep rose 10-60cm 37,G
1618,Primula sieboldii,mix 12-25cm 5 60 102,G
1619,Primula sieboldii,pink shades 12-25cm 113,G
1620,Primula sieboldii (from Japanese Sakurasoh forms),mix 12-25cm 69,G
1621,Primula sieboldii 'Beni-kagari',pink 20cm 69,G
1622,Primula simensis,yellow flr/very mealy lvs to 80cm 37,G
1623,Primula stenocalyx,bluish lavender-pink to 15cm 19,G
1624,Primula veris,mix 8-30cm 153,G
1625,Primula veris,yellow 8-30cm 113 156 160,G
1626,Primula vialii,rose red/violet-purple 20-45cm 34 96,G
1627,Primulina (Chirita) tamiana,white/purple-lavender 10cm 82,G
1628,Prospero (Scilla) autumnale,lilac/pink/bluish purple to 15cm 165,G
1629,Pseudofumaria (Corydalis) lutea,yellow 40cm 151,G
1630,Pseudolysimachion kiusianum,purple-blue 50-100cm 175,G
1631,Pseudolysimachion rotundum ssp subintegrum,blue-purple/white to 1m 93,G
1632,Ptelea trifoliata 'Variegata',cream flr/gold variegated lvs 3-5m 155,G
1633,Pterocephalus depressus,pink-mauve 5-10cm >,G
1634,Pterocephalus perennis,pink-purple flr/grey-green lvs to 12cm 57 77,G
1635,Pterocephalus pinardii,pink 4cm 100 106,G
1636,Pterostyrax hispidus,white to 15m 3,G
1637,Ptilotrichum spinosum,white flr/grey-green lvs 15-30cm 187,G
1638,Ptilotrichum spinosum 'Roseum',rose-pink flr/grey lvs 15-30cm 30,G
1639,Pulsatilla albana,mix 10-30cm 77,G
1640,Pulsatilla albana ssp albana,yellow 5-30cm 57,G
1641,Pulsatilla alpina ssp apiifolia,yellow 10-50cm >,G
1642,Pulsatilla ambigua,dark violet 16-22cm 40 124,G
1643,Pulsatilla caucasica (hort),yellow 20cm 34,G
1644,Pulsatilla chinensis,violet 15-35cm 110,G
1645,Pulsatilla grandis,violet-purple 5-30cm 120,G
1646,Pulsatilla grandis 'Papageno',pink fringed 15-30cm 180,G
1647,Pulsatilla grandis 'Papageno',purple fringed 15-30cm 160,G
1648,Pulsatilla halleri,violet-lavender 5-25cm 19,G
1649,Pulsatilla halleri ssp styriaca 'Pink Dream',pink 20cm 185,G
1650,Pulsatilla hybrids,red 77,G
1651,Pulsatilla montana,dark blue-violet 10-30cm 26 77,G
1652,Pulsatilla nigricans,dark purple-black 15-30cm 119,G
1653,Pulsatilla nuttalliana,purple 10-40cm 119,G
1654,Pulsatilla patens ssp patens,blue-violet/lilac to 40cm 97,G
1655,Pulsatilla pratensis ssp bohemica,dark purple-black to 15cm 77,G
1656,Pulsatilla rubra,dark red 25cm 57,G
1657,"Pulsatilla sp (ex Brno, very early)",purple 15cm 6,G
1658,Pulsatilla vernalis,white/blue or pink reverse 5-15cm 131,G
1659,Pulsatilla vulgaris,bright pink 15-40cm 118,G
1660,Pulsatilla vulgaris,double purple 15-40cm 118,G
1661,Pulsatilla vulgaris,maroon 15-40cm 180,G
1662,Pulsatilla vulgaris,mix 15-40cm 69 156,G
1663,Pulsatilla vulgaris,pale pink 15-40cm 144,G
1664,Pulsatilla vulgaris,purple 15-40cm 169,G
1665,Pulsatilla vulgaris,red 15-40cm 118,G
1666,Pulsatilla vulgaris,white 15-40cm >,G
1667,Pulsatilla vulgaris 'Elegans',burgundy-red 20cm 32,G
1668,Pulsatilla vulgaris 'Rode Klokke',red 25cm 160,G
1669,Pycnosorus globosus,yellow flr/grey woolly lvs to 120cm 7,G
1670,Pyrrocoma crocea,bright yellow 18-80cm 154 156,G
1671,Raffenaldia primuloides,yellow/lilac/white 15cm 77,G
1672,Ramonda myconi,deep violet 6-12cm 122,G
1673,Ramonda myconi 'Alborosea',white/pink 8cm 97,G
1674,Ranunculus gramineus,yellow 30-45cm 40 112 142,G
1675,Ranunculus platanifolius,white 30-100cm 142,G
1676,Raoulia glabra,cream/white 2.5cm 126,G
1677,Rhaponticum (Leuzea) coniferum,pink-purple flr/white-felted lvs 15-30cm 34 78 130,G
1678,Rheum moorcroftianum (ex CC6342),red spike 30cm 19,G
1679,Rheum palmatum,pink-red to 250cm 43,G
1680,Rhexia virginica,rose-lavender 20-60cm 82,G
1681,Rhododendron atlanticum,white/flush pink-rose .5-1m 64,G
1682,Rhododendron kiusianum,rose-purple 45-60cm 169,G
1683,Rhodophiala bagnoldii,yellow 30cm 34,G
1684,Rhus glabra,yellowish-green flr/red frt 3-5m 164,G
1685,Rhus potaninii,creamy white flr/red frt to 12m 185,G
1686,Rohdea japonica (moist packed),pale yellow flr/red frt 30-50cm 166,G
1687,Romneya coulteri,white 1-2.5m 181,G
1688,Romulea bulbocodium,blue-violet 10-15cm 74,G
1689,Rosa carolina,pink 30-130cm 166,G
1690,Rosa glauca,pink flr/glaucous-purple lvs 1.5-3m 155,G
1691,Rosa xanthina,yellow 2-3m 92,G
1692,Rosularia sedoides,white 5-10cm 156,G
1693,Rudbeckia fulgida v sullivantii 'Goldsturm',yellow 60-90cm 155,G
1694,Rudbeckia laciniata,yellow to 3m 38,G
1695,Rudbeckia maxima,yellow to 2.5m 149,G
1696,Rudbeckia occidentalis,purple-brown cone center to 2m 154,G
1697,Rudbeckia triloba,yellow-orange to 1.5m 155,G
1698,Rudbeckia triloba 'Prairie Glow',red-orange/yellow 90-120cm 146,G
1699,Ruellia 'Black Beauty',pale lilac flr/black lvs to 25cm 170,G
1700,Ruellia humilis,lavender-lilac 30-60cm 82 155,G
1701,Rumex sanguineus,green-red brown flr/red-purple veined lvs 30-70cm 148,G
1702,Salpingostylis (Calydorea) coelestina,blue-violet 15-30cm 53,G
1703,Salvia absconditiflora,white-pink 30-60cm 32 119,G
1704,Salvia apiana,white-pale lavender flr/silver-white lvs to 1.5m 92,G
1705,Salvia argentea,white flr/silver-grey woolly lvs 30-60cm >,G
1706,Salvia atropatana,white/yellow 25-70cm 157,G
1707,Salvia blepharochlaena,white-pale yellow/purple-veined 10-30cm 119,G
1708,Salvia brandegeei,pale blue-lavender 100-150cm 126,G
1709,Salvia caespitosa,lilac-pink/violet/white 5-15cm 156,G
1710,Salvia canariensis,purple-violet flr/grey felt lvs to 2m 126 133,G
1711,Salvia canescens v daghestanica,purple flr/silver-white woolly lvs 10-30cm 156,G
1712,Salvia chrysophylla,lilac/yellow lip 20-60cm 156 185,G
1713,Salvia coccinea,scarlet/orange-red to 1m 163,G
1714,Salvia coccinea 'Lady in Red',red 50-60cm 155,G
1715,Salvia columbariae,blue 10-50cm 133,G
1716,Salvia cyanescens,violet-blue flr/velvety grey-green lvs 30-90cm 156,G
1717,Salvia darcyi,coral-red to 1m 156,G
1718,Salvia dorrii,blue-purple flr/grey-green lvs 30-90cm 112,G
1719,Salvia flava,yellow/purple-brown lip 20-50cm 157,G
1720,Salvia fruticosa (ex Crete),157,G
1721,Salvia glutinosa,pale yellow/maroon speckled 40-60cm 141,G
1722,Salvia henryi,bright red flr/grey lvs to 30cm 156,G
1723,Salvia jurisicii,violet-lavender to 30cm 32 144 156,G
1724,Salvia lanceolata,dusky rose-brown flr/grey lvs 90-200cm 157,G
1725,Salvia microphylla 'Royal Bumble',scarlet-red flr/purple-black stems 60-120cm 76,G
1726,Salvia officinalis 'Nana',lavender-blue 30-45cm 156,G
1727,Salvia pentstemonoides (ex Native American Seed),cherry-red 90-150cm 170,G
1728,Salvia phlomoides,violet-white flr/white woolly lvs to 45cm 157,G
1729,Salvia pisidica,violet blue 15-35cm 156,G
1730,Salvia pratensis (PI),bluish-violet 1-1.5m 157,G
1731,Salvia recognita,pale pink flr/grey hairy lvs 60-90cm 156,G
1732,Salvia reflexa (PI),pale-dark blue 10-70cm 157,G
1733,Salvia ringens,violet-blue to 60cm 157,G
1734,Salvia scabiosifolia,pale violet flr/grey green lvs to 50cm 157,G
1735,Salvia sclarea,pale mauve-lilac/white-pink 90-120cm 156,G
1736,Salvia sclarea v turkestanica (hort),white/pink tinged to 1m 181,G
1737,Salvia 'Shangri-la' (moorcroftiana x indica),lavender-blue flr/blue-grey lvs 60-90cm 156,G
1738,Salvia sp,silver lvs 15cm 118,G
1739,Salvia spathacea,ruby red- dark maroon 30-150cm 157,G
1740,Salvia staminea,off-white/cream to 75cm 156,G
1741,Salvia taraxacifolia,pink-cream 15-20cm 4,G
1742,Salvia tiliifolia,white-blue/lilac to 1m 157,G
1743,Salvia tomentosa,lilac-purple/white to 100cm 157,G
1744,Salvia transsylvanica,lavender blue 60-90cm 156,G
1745,Salvia verticillata,lavender to 90cm 157,G
1746,Salvia viridis,cream/purple-rose bracts 30-60cm 157,G
1747,Salvia viscosa,burgundy red 1m 157,G
1748,Sanguinaria canadensis (moist packed),semi-double white to 40cm 155,G
1749,Sanguinaria canadensis (moist packed),white to 40cm 12 169,G
1750,Sanguisorba minor,greenish-reddish purple 40-75cm 156,G
1751,Sanguisorba officinalis 'Little Angel',red-purple flr/variegated lvs 10-18cm 106,G
1752,Saponaria caespitosa,purplish-pink 5-15cm >,G
1753,Saponaria cypria,pink to 15cm 4,G
1754,Saponaria pumilio,pink-purple 1-5cm 57 144,G
1755,Sarracenia flava,yellowish-green pitcher/yellow flr 25-90cm 168,G
1756,Sarracenia moorei (x) 'Leah Wilkerson',green-white w/red veins pitcher/orange flr to 100cm 168,G
1757,Sarracenia rubra,green-maroon pitcher/maroon-red flr 12-75cm 168,G
1758,Saruma henryi,soft yellow 45-60cm 31 48,G
1759,Saruma henryi (moist packed),soft yellow 40-60cm 169,G
1760,Satureja subspicata,purple-violet 15cm 100,G
1761,Sauromatum venosum,purplish brown-yellowish mottled spathe 20-100cm 165 166,G
1762,Saxifraga apiculata (x) 'Pungens',pale yellow 10-15cm 85,G
1763,Saxifraga arendsii (x),white 10-20cm 15,G
1764,Saxifraga bronchialis,yellowish white 5-20cm 43,G
1765,Saxifraga callosa (cf),156,G
1766,Saxifraga cernua,white flr/red bulbils 10-20cm 44,G
1767,Saxifraga cochlearis 'Minor',white 10-20cm 77,G
1768,Saxifraga hostii,white 20-60cm 156,G
1769,Saxifraga hostii ssp hostii,creamy-white to 30cm 19,G
1770,Saxifraga longifolia,white 10-70cm 20,G
1771,Saxifraga 'Millstream',pink-red to 20cm 156,G
1772,Saxifraga oppositifolia,pink-purple 2cm 118,G
1773,Saxifraga oppositifolia 'Wetterhorn',deep pink 5cm 41,G
1774,Saxifraga paniculata,red to 30cm 85,G
1775,Saxifraga paniculata,white-cream to 30cm 40 85 156,G
1776,Saxifraga paniculata (compact form),white 3-20cm 64,G
1777,Saxifraga paniculata (dwarf forms),mix 85,G
1778,Saxifraga Porophyllum hybrids,mix 77,G
1779,Saxifraga pubescens 'Snowcap',white to 4.5cm 41,G
1780,Saxifraga 'Southside Seedling',white 30-60cm 89,G
1781,Saxifraga stribrnyi,purplish-pink flr/reddish stems 6-10cm 77,G
1782,Saxifraga tricuspidata,white-cream 4-10cm 44,G
1783,Scabiosa africana,mauve 30-100cm 126,G
1784,Scabiosa graminifolia,lilac-pink 20-30cm 156,G
1785,Scabiosa japonica 'Ritz Blue',blue-lilac 10-20cm 8,G
1786,Scabiosa japonica v alpina,lavender-blue 20cm 105 184,G
1787,Scabiosa ochroleuca,cream-yellow 60-90cm 9,G
1788,Scabiosa ochroleuca (dwarf form),pale yellow 20-30cm 36,G
1789,Schisandra chinensis,white flr/red frt to 8m 22 145 3,G
1790,Schivereckia podolica,white to 25cm 144,G
1791,Scilla amoena,blue 10-30cm 97,G
1792,Scilla litardierei,blue-violet 15-20cm 74,G
1793,Scilla mischtschenkoana,white/blue mid-vein 10-15cm 169,G
1794,Scilla peruviana,violet-blue 15-40cm 74,G
