"item","taxon","description","origin"
282,"Asarum caudatum v viridiflorum (moist packed)","greenish-yellow flr 7-17cm 169","G"
283,"Asarum hartwegii (moist packed)","reddish-brown 9-21cm 169","G"
284,"Asclepias angustifolia","white/pale purple 20-70cm 87","G"
3038,"Asclepias eriocarpa/californica","possibly mixed California: NW San Bernardino Mtns 1460m 177","W"
3039,"Asclepias exaltata","white/green 120cm North Carolina: Watauga Co 87","W"
3040,"Asclepias fascicularis","California: NW San Bernardino Mtns 550m 177","W"
285,"Asclepias incarnata","pink-mauve 1-1.5m >","G"
286,"Asclepias purpurascens","deep rose-purple to 1m 172","G"
287,"Asclepias tuberosa","orange 30-100cm >","G"
290,"Asphodeline damascena","white flr/blue-green lvs 45-170cm 114","G"
291,"Asphodeline liburnica","yellow 60-100cm 64 66","G"
292,"Asphodeline lutea","yellow 90-120cm 26 156","G"
293,"Asphodeline taurica","white 60-80cm 3","G"
294,"Asphodelus albus","white/pink-veined 50-120cm 3","G"
296,"Aster ageratoides 'Ezo Murasaki'","purple to 60cm 33","G"
297,"Aster alpinus","blue 15-30cm 160","G"
298,"Aster alpinus","lavender 15-30cm 36","G"
299,"Aster alpinus","lilac-purple 6-20cm 57","G"
300,"Aster alpinus","mix 15-30cm 96 146","G"
301,"Aster alpinus","purple 15-30cm 15 19","G"
302,"Aster alpinus","white 15-30cm 58","G"
303,"Aster himalaicus","blue-purple 8-25cm 52 156","G"
304,"Aster likiangensis","bluish-lavender purple 3-20cm 142","G"
305,"Aster souliei","blue-purple/violet 2-45cm 57","G"
306,"Aster stracheyi","violet-pale lilac 3-15cm 68","G"
323,"Babiana angustifolia","blue 10-20cm 133","G"
324,"Babiana tubiflora","cream-white/purple-violet spots 7-15cm 99","G"
331,"Barnardia (Scilla) japonica","lavender/lilac 7-20cm 113 182","G"
334,"Begonia boliviensis","bright orange/red 30-45cm 64","G"
335,"Begonia grandis 'Heron's Pirouette'","pink 30-60cm 169","G"
336,"Begonia grandis ssp sinensis","pink 20-40cm 3","G"
337,"Begonia henryi","pink to 25cm 170","G"
338,"Bellevalia paradoxa","blackish-blue 12-20cm 160","G"
345,"Bomarea salsilla","red to 2m 128","G"
3051,"Brodiaea californica","lavender-blue violet 50cm California: N Sierra Nevada Foothills, Butte Co 960m 175","W"
358,"Calochortus albus","white-pink 20-80cm 17","G"
3057,"Calochortus albus","white 20-30cm California: N Sierra Nevada Foothills, Butte Co 678m 175","W"
3058,"Calochortus albus","white/pale red 20-30cm California: C Sierra Nevada Foothills, Mariposa Co 782m 175","W"
359,"Calochortus amabilis","yellow 10-50cm 59","G"
3059,"Calochortus amabilis","dark yellow 10-20cm California: Inner North Coast Ranges, Lake Co 460m 175","W"
3060,"Calochortus amabilis","yellow 20cm California: Ukiah 24","W"
3061,"Calochortus ambiguus","white 30cm Arizona: Coconino Co 1","W"
360,"Calochortus argillosus","white/red-lavender markings 40-60cm 59","G"
3062,"Calochortus gunnisonii","purple 45cm Arizona: Gila Co 1326m 1","W"
361,"Calochortus howellii","yellowish white 20-35cm 18","G"
3063,"Calochortus invenustus (cf)","California: NE San Bernardino Mtns 2240m 177","W"
3064,"Calochortus kennedyi","California: NE San Bernardino Mtns 1860m 177","W"
3065,"Calochortus leichtlinii","white/dark purple crescent 15-20cm California: Northern Sierra Nevada, Sierra Co 1733m 175","W"
362,"Calochortus longibarbatus","light pink-lavender 10-30cm 64","G"
363,"Calochortus luteus","deep yellow/red-brown 20-50cm 29","G"
3066,"Calochortus luteus x C superbus (variable in shape)","white-bright yellow/red gland 16-20cm California: Inner North Coast Ranges, Lake Co 481m 175","W"
3067,"Calochortus macrocarpus","lilac 40cm Oregon: near Clarno 64","W"
3068,"Calochortus macrocarpus v macrocarpus","lavender 20-30cm Washington: E Cascade Foothills, Yakima Co 696m 175","W"
3069,"Calochortus nuttallii","white 5-10cm Utah: Abajo Mtns 2400m 46","W"
3070,"Calochortus nuttallii","white/pink 30cm Colorado: Mesa Co 78","W"
364,"Calochortus obispoensis","yellow-orange/purple-brown tips 30-60cm 18","G"
365,"Calochortus splendens","lavender-purple 20-60cm 59","G"
3071,"Calochortus splendens (cf)","California: Laguna Mtns, San DIego Co 1440m 177","W"
