bx_id,date_open,n_items_all,n_items_seed,n_items_bulb
BX 368,2014-08-17,0,NULL,0
BX 368,2014-08-17,28,NULL,28
BX 368,2014-08-17,0,NULL,0
BX 369,2014-09-02,0,NULL,0
BX 369,2014-09-02,23,NULL,23
BX 369,2014-09-02,0,NULL,0
BX 370,2014-09-15,0,0,0
BX 370,2014-09-15,27,3,24
BX 370,2014-09-15,0,0,0
BX 371,2014-10-03,0,0,0
BX 371,2014-10-03,25,3,22
BX 371,2014-10-03,0,0,0
BX 372,2014-11-08,0,0,0
BX 372,2014-11-08,21,3,18
BX 372,2014-11-08,0,0,0
BX 373,2014-12-28,0,0,0
BX 373,2014-12-28,7,3,4
BX 373,2014-12-28,0,0,0
BX 374,2015-03-26,0,0,0
BX 374,2015-03-26,7,1,6
BX 374,2015-03-26,0,0,0
BX 375,2015-04-06,0,0,0
BX 375,2015-04-06,13,3,10
BX 375,2015-04-06,0,0,0
BX 376,2015-04-20,0,0,0
BX 376,2015-04-20,16,4,12
BX 376,2015-04-20,0,0,0
BX 377,2015-04-26,0,NULL,0
BX 377,2015-04-26,7,NULL,7
BX 377,2015-04-26,0,NULL,0
BX 378,2015-05-15,0,NULL,0
BX 378,2015-05-15,17,NULL,17
BX 378,2015-05-15,0,NULL,0
BX 379,2015-06-04,0,0,0
BX 379,2015-06-04,8,2,6
BX 379,2015-06-04,0,0,0
BX 380,2015-06-20,0,0,0
BX 380,2015-06-20,5,2,3
BX 380,2015-06-20,0,0,0
BX 381,2015-07-12,0,0,0
BX 381,2015-07-12,18,3,15
BX 381,2015-07-12,0,0,0
BX 382,2015-07-29,0,0,NULL
BX 382,2015-07-29,16,16,NULL
BX 382,2015-07-29,0,0,NULL
BX 383,2015-08-09,0,0,0
BX 383,2015-08-09,9,1,8
BX 383,2015-08-09,0,0,0
BX 384,2015-08-19,0,0,0
BX 384,2015-08-19,12,5,7
BX 384,2015-08-19,0,0,0
BX 385,2015-09-02,0,0,0
BX 385,2015-09-02,10,1,9
BX 385,2015-09-02,0,0,0
BX 386,2015-09-27,0,0,0
BX 386,2015-09-27,23,4,19
BX 386,2015-09-27,0,0,0
BX 387,2015-10-15,0,0,0
BX 387,2015-10-15,24,9,15
BX 387,2015-10-15,0,0,0
BX 388,2015-10-23,0,0,0
BX 388,2015-10-23,19,6,13
BX 388,2015-10-23,0,0,0
BX 389,2015-10-28,0,0,0
BX 389,2015-10-28,24,19,5
BX 389,2015-10-28,0,0,0
BX 390,2015-11-06,0,0,NULL
BX 390,2015-11-06,20,20,NULL
BX 390,2015-11-06,0,0,NULL
BX 391,2015-11-13,0,0,NULL
BX 391,2015-11-13,27,27,NULL
BX 391,2015-11-13,0,0,NULL
BX 392,2015-11-24,0,NULL,0
BX 392,2015-11-24,26,NULL,26
BX 392,2015-11-24,0,NULL,0
BX 393,2015-12-01,0,NULL,0
BX 393,2015-12-01,24,NULL,24
BX 393,2015-12-01,0,NULL,0
BX 394,2016-01-23,0,0,0
BX 394,2016-01-23,14,12,2
BX 394,2016-01-23,0,0,0
BX 395,2016-02-22,0,0,0
BX 395,2016-02-22,26,2,24
BX 395,2016-02-22,0,0,0
BX 396,2016-03-29,0,0,0
BX 396,2016-03-29,12,3,9
BX 396,2016-03-29,0,0,0
BX 397,2016-04-28,0,0,0
BX 397,2016-04-28,16,1,15
BX 397,2016-04-28,0,0,0
BX 398,2016-05-11,0,0,0
BX 398,2016-05-11,11,3,8
BX 398,2016-05-11,0,0,0
BX 399,2016-05-23,0,0,0
BX 399,2016-05-23,10,1,9
BX 399,2016-05-23,0,0,0
BX 400,2016-06-03,0,0,NULL
BX 400,2016-06-03,23,23,NULL
BX 400,2016-06-03,0,0,NULL
BX 401,2016-06-10,0,0,NULL
BX 401,2016-06-10,21,21,NULL
BX 401,2016-06-10,0,0,NULL
BX 402,2016-06-20,0,0,0
BX 402,2016-06-20,15,3,12
