"bx_id","date_open","n_items"
"BX 416","2017-04-11","0"
"BX 417","2017-05-04","0"
"BX 417","2017-05-04","16"
"BX 417","2017-05-04","0"
"BX 418","2017-06-16","0"
"BX 418","2017-06-16","32"
"BX 418","2017-06-16","0"
"BX 419","2017-07-15","0"
"BX 419","2017-07-15","17"
"BX 419","2017-07-15","0"
"BX 420","2017-07-24","0"
"BX 420","2017-07-24","35"
"BX 420","2017-07-24","0"
"BX 421","2017-07-31","0"
"BX 421","2017-07-31","15"
"BX 421","2017-07-31","0"
"BX 422","2017-08-18","0"
"BX 422","2017-08-18","22"
"BX 422","2017-08-18","0"
"BX 423","2017-08-27","0"
"BX 423","2017-08-27","29"
"BX 423","2017-08-27","0"
"BX 424","2017-09-05","0"
"BX 424","2017-09-05","30"
"BX 424","2017-09-05","0"
"BX 425","2017-09-13","0"
"BX 425","2017-09-13","27"
"BX 425","2017-09-13","0"
"BX 426","2017-09-19","0"
"BX 426","2017-09-19","28"
"BX 426","2017-09-19","0"
"BX 427","2017-10-06","0"
"BX 427","2017-10-06","17"
"BX 427","2017-10-06","0"
"BX 428","2017-10-13","0"
"BX 428","2017-10-13","7"
"BX 428","2017-10-13","0"
"BX 429","2017-10-30","0"
"BX 429","2017-10-30","11"
"BX 429","2017-10-30","0"
"BX 430","2017-11-05","0"
"BX 430","2017-11-05","25"
"BX 430","2017-11-05","0"
"BX 431","2017-11-08","0"
"BX 431","2017-11-08","25"
"BX 431","2017-11-08","0"
"BX 432","2017-11-13","0"
"BX 432","2017-11-13","25"
"BX 432","2017-11-13","0"
"BX 433","2017-11-18","0"
"BX 433","2017-11-18","16"
"BX 433","2017-11-18","0"
"BX 434","2018-01-02","0"
"BX 434","2018-01-02","18"
"BX 434","2018-01-02","0"
"BX 435","2018-01-14","0"
"BX 435","2018-01-14","9"
"BX 435","2018-01-14","0"
"BX 436","2018-02-04","0"
"BX 436","2018-02-04","19"
"BX 436","2018-02-04","0"
"BX 437","2018-03-27","0"
"BX 437","2018-03-27","13"
"BX 437","2018-03-27","0"
"BX 438","2018-04-22","0"
"BX 438","2018-04-22","15"
"BX 438","2018-04-22","0"
"BX 439","2018-05-08","0"
"BX 439","2018-05-08","11"
"BX 439","2018-05-08","0"
"BX 440","2018-05-24","0"
"BX 440","2018-05-24","13"
"BX 440","2018-05-24","0"
"BX 441","2018-06-25","0"
"BX 441","2018-06-25","20"
"BX 441","2018-06-25","0"
"BX 442","2018-06-30","0"
"BX 442","2018-06-30","21"
"BX 442","2018-06-30","0"
"BX 443","2018-07-25","0"
"BX 443","2018-07-25","29"
"BX 443","2018-07-25","0"
"BX 444","2018-08-05","0"
"BX 444","2018-08-05","24"
"BX 444","2018-08-05","0"
"BX 445","2018-08-12","0"
"BX 445","2018-08-12","12"
"BX 445","2018-08-12","0"
"BX 446","2018-08-27","0"
"BX 446","2018-08-27","16"
"BX 446","2018-08-27","0"
"BX 447","2018-09-15","0"
"BX 447","2018-09-15","36"
"BX 447","2018-09-15","0"
"BX 448","2018-09-22","0"
"BX 448","2018-09-22","52"
"BX 448","2018-09-22","0"
"BX 449","2018-10-02","0"
"BX 449","2018-10-02","16"
"BX 449","2018-10-02","0"
"BX 450","2018-10-15","0"
"BX 450","2018-10-15","13"
"BX 450","2018-10-15","0"
"BX 451","2018-11-26","0"
"BX 451","2018-11-26","36"
"BX 451","2018-11-26","0"
"BX 452","2018-12-08","0"
"BX 452","2018-12-08","36"
"BX 452","2018-12-08","0"
"BX 453","2019-01-24","0"
"BX 453","2019-01-24","16"
"BX 453","2019-01-24","0"
"BX 454","2019-02-23","0"
"BX 454","2019-02-23","26"
"BX 454","2019-02-23","0"
"BX 455","2019-04-02","0"
"BX 455","2019-04-02","15"
"BX 455","2019-04-02","0"
"BX 456","2019-04-19","0"
"BX 456","2019-04-19","32"
"BX 456","2019-04-19","0"
"BX 457","2019-05-09","0"
"BX 457","2019-05-09","14"
"BX 457","2019-05-09","0"
"BX 458","2019-07-02","0"
"BX 458","2019-07-02","28"
"BX 458","2019-07-02","0"
"BX 459","2019-07-05","0"
"BX 459","2019-07-05","54"
"BX 459","2019-07-05","0"
"BX 460","2019-07-06","0"
"BX 460","2019-07-06","7"
"BX 460","2019-07-06","0"
"BX 461","2019-07-22","0"
"BX 461","2019-07-22","5"
"BX 461","2019-07-22","0"
"BX 462","2019-08-25","0"
"BX 462","2019-08-25","53"
"BX 462","2019-08-25","0"
"BX 463","2019-11-03","0"
"BX 463","2019-11-03","196"
"BX 463","2019-11-03","0"
