bx_id|date_open|n_items_all|n_items_seed|n_items_bulb
BX 442|2018-06-30|21|5|16
BX 443|2018-07-25|29|3|26
BX 444|2018-08-05|24|12|12
BX 445|2018-08-12|12|3|9
BX 446|2018-08-27|16|3|13
BX 447|2018-09-15|36|2|34
BX 448|2018-09-22|52||52
BX 449|2018-10-02|16|7|9
BX 450|2018-10-15|13||13
BX 451|2018-11-26|36|6|30
BX 452|2018-12-08|36|4|32
BX 453|2019-01-24|16|8|8
BX 454|2019-02-23|26|11|15
BX 455|2019-04-02|15|9|6
BX 456|2019-04-19|32|31|1
BX 457|2019-05-09|14|11|3
BX 458|2019-07-02|28|7|21
BX 459|2019-07-05|54|35|19
BX 460|2019-07-06|7|6|1
BX 461|2019-07-22|5|5|
BX 462|2019-08-25|53|23|30
BX 463b|2019-11-03|44||44
BX 463s|2019-11-03|152|151|1
